n_pkt,thput
5,182857
5,91428
5,164102
5,492307
5,376470
5,172972
5,164102
5,193939
5,142222
5,110344
5,168421
5,85333
5,336842
5,426666
5,177777
5,320000
5,164102
5,168421
5,91428
5,87671
5,106666
5,100000
5,101587
5,142222
5,78048
5,82051
5,106666
5,77108
5,148837
5,228571
5,53333
5,266666
5,533333
5,220689
5,457142
5,48484
5,640000
5,457142
5,206451
5,246153
5,188235
5,182857
5,400000
5,400000
5,457142
5,376470
5,256000
5,177777
5,228571
5,220689
5,237037
5,148837
5,136170
5,168421
5,177777
5,172972
5,128000
5,256000
5,213333
5,206451
5,168421
5,164102
5,492307
5,228571
5,188235
5,152380
5,376470
5,320000
5,213333
5,278260
5,246153
5,84210
5,581818
5,266666
5,256000
5,290909
5,492307
5,533333
5,213333
5,220689
5,266666
5,125490
5,139130
5,206451
5,87671
5,336842
5,457142
5,290909
5,256000
5,98461
5,182857
5,320000
5,160000
5,426666
5,44755
5,304761
5,1280000
5,206451
5,160000
5,220689
5,139130
5,152380
5,142222
5,59813
5,256000
5,31683
5,55652
5,182857
5,116363
5,65306
5,142222
5,213333
5,457142
5,23703
5,290909
5,581818
5,320000
5,457142
5,182857
5,355555
5,160000
5,1600000
5,457142
5,426666
5,182857
5,160000
5,220689
5,457142
5,92753
5,82051
5,139130
5,90140
5,112280
5,100000
5,213333
5,304761
5,278260
5,278260
5,400000
5,206451
5,182857
5,400000
5,426666
5,304761
5,213333
5,193939
5,40000
5,320000
5,172972
5,164102
5,256000
5,160000
5,142222
5,133333
5,70329
5,120754
5,108474
5,103225
5,59259
5,156097
5,112280
5,128000
5,77108
5,133333
5,125490
5,128000
5,168421
5,278260
5,320000
5,116363
5,45070
5,148837
5,246153
5,193939
5,193939
5,278260
5,156097
5,152380
5,182857
5,320000
5,640000
5,914285
5,914285
5,1600000
5,914285
5,400000
5,237037
5,220689
5,206451
5,177777
5,91428
5,73563
5,60952
5,78048
5,81012
5,75294
5,86486
5,72727
5,145454
5,182857
5,160000
5,128000
5,168421
5,581818
5,711111
5,711111
5,246153
5,213333
5,136170
5,128000
5,98461
5,246153
5,220689
5,80000
5,533333
5,69565
5,376470
5,492307
5,213333
5,320000
5,492307
5,228571
5,336842
5,533333
5,200000
5,376470
5,320000
5,290909
5,136170
5,128000
5,246153
5,256000
5,246153
5,533333
5,98461
5,320000
