n_pkt,thput
5,1333333
5,2206896
5,2370370
5,4000000
5,609523
5,6400000
5,2560000
5,2133333
5,1422222
5,2133333
5,2000000
5,1523809
5,1163636
5,1560975
5,4266666
5,2133333
5,3368421
5,2909090
5,2782608
5,2560000
5,1422222
5,1684210
5,4000000
5,2206896
5,2370370
5,3200000
5,5818181
5,2560000
5,2461538
5,2285714
5,1641025
5,2133333
5,955223
5,1185185
5,1122807
5,1600000
5,2285714
5,1103448
5,1729729
5,1882352
5,3764705
5,1361702
5,941176
5,537815
5,571428
5,1641025
5,524590
5,1015873
5,888888
5,688172
5,603773
5,241509
5,520325
5,488549
5,615384
5,481203
5,355555
5,474074
5,441379
5,418300
5,470588
5,500000
5,221453
5,299065
5,355555
5,376470
5,402515
5,274678
5,444444
5,447552
5,435374
5,457142
5,284444
5,385542
5,365714
5,171122
5,297674
5,333333
5,503937
5,507936
5,500000
5,507936
5,640000
5,488549
5,941176
5,1230769
5,3047619
5,1641025
5,914285
5,810126
5,853333
5,914285
5,927536
5,1828571
5,646464
5,2782608
5,1939393
5,2133333
5,2206896
5,2206896
5,1015873
5,1600000
5,752941
5,752941
5,695652
5,984615
5,888888
5,719101
5,727272
5,927536
5,831168
5,2285714
5,2133333
5,320000
5,2461538
5,1361702
5,1306122
5,1641025
5,576576
5,820512
5,695652
5,592592
5,400000
5,2461538
5,263374
5,1641025
5,1828571
5,537815
5,516129
5,542372
5,1333333
5,853333
5,1032258
5,1015873
5,1103448
5,4000000
5,1254901
5,576576
5,353591
5,267782
5,2782608
5,2206896
5,4923076
5,1882352
5,2206896
5,6400000
5,4571428
5,1000000
5,719101
5,1828571
5,1641025
5,1163636
5,1122807
5,1454545
5,711111
5,1729729
5,771084
5,1015873
5,581818
5,609523
5,1523809
5,1230769
5,3764705
5,6400000
5,1939393
5,2666666
5,2560000
5,1306122
5,984615
5,1600000
5,1084745
5,2461538
5,1361702
5,1684210
5,800000
5,2370370
5,1254901
5,457142
5,914285
5,810126
5,1032258
5,1454545
5,1523809
5,646464
5,542372
5,2909090
5,1882352
5,771084
5,507936
5,1103448
5,1422222
5,927536
5,1254901
5,984615
5,673684
5,1454545
5,901408
5,1254901
5,380952
5,633663
5,392638
5,374269
5,272340
5,390243
5,380952
5,503937
5,470588
5,241509
5,331606
5,293577
5,432432
5,376470
5,242424
5,627450
5,533333
5,547008
5,547008
5,537815
5,528925
5,392638
5,470588
5,300469
5,474074
5,418300
5,463768
5,547008
5,561403
5,516129
5,512000
5,587155
5,598130
5,581818
5,345945
5,576576
5,633663
5,355555
5,426666
5,444444
5,615384
5,609523
5,666666
5,800000
5,790123
5,735632
5,688172
5,2064516
5,2206896
5,3368421
5,2206896
5,1391304
5,1828571
5,2206896
5,2206896
5,3200000
5,2370370
5,1066666
5,810126
5,2909090
5,2666666
5,1600000
5,2909090
5,1488372
5,1391304
5,1882352
5,3047619
5,7111111
5,2461538
5,1523809
5,412903
5,1103448
5,1163636
5,2000000
5,2064516
5,1185185
5,888888
5,1600000
5,1488372
5,853333
5,1185185
5,2909090
5,324873
5,492307
5,457142
5,566371
5,1454545
5,609523
5,7111111
5,1391304
5,1032258
5,1230769
5,744186
5,621359
5,481203
5,496124
5,457142
5,359550
5,324873
5,418300
5,243346
5,432432
5,435374
5,336842
5,345945
5,329896
5,365714
5,333333
5,307692
5,318407
5,303317
5,304761
5,336842
5,347826
5,344086
5,369942
5,376470
5,405063
5,418300
5,423841
5,363636
5,326530
5,470588
5,592592
5,581818
5,603773
5,633663
5,673684
5,659793
5,744186
5,735632
5,735632
5,752941
5,3200000
5,2064516
5,5818181
5,5818181
5,1488372
5,2666666
5,1600000
5,3200000
5,2461538
5,1230769
5,5818181
5,3764705
5,4266666
5,1361702
5,3368421
5,2560000
5,853333
5,542372
5,1488372
5,1391304
5,1600000
5,955223
5,423841
5,581818
5,488549
5,355555
5,556521
5,426666
5,603773
5,627450
5,587155
5,615384
5,598130
5,576576
5,474074
5,653061
5,927536
5,927536
5,1684210
5,412903
5,415584
5,1828571
5,4000000
5,3368421
5,1939393
5,576576
5,1280000
5,1049180
5,1032258
5,1015873
5,842105
5,752941
5,853333
5,711111
5,901408
5,512000
5,1122807
5,1207547
5,2000000
5,800000
5,524590
5,2461538
5,1828571
5,673684
5,7111111
5,1684210
5,1729729
5,1163636
5,1000000
5,1523809
5,752941
5,1454545
5,1230769
5,1185185
5,1163636
5,1032258
5,1032258
5,800000
5,1122807
5,853333
5,1032258
5,955223
5,1103448
5,1103448
5,1185185
5,1306122
5,1254901
5,1084745
