n_pkt,thput
1,2560000
1,426666
1,853333
1,853333
1,512000
1,182857
1,426666
1,1280000
1,512000
1,320000
1,320000
1,853333
1,232727
1,182857
1,196923
1,232727
1,160000
1,512000
1,196923
1,160000
1,320000
1,256000
1,182857
1,128000
1,128000
1,121904
1,256000
1,284444
1,640000
1,111304
1,102400
1,121904
1,116363
1,94814
1,142222
1,256000
1,365714
1,142222
1,102400
1,71111
1,106666
1,128000
1,69189
1,111304
1,73142
1,116363
1,80000
1,54468
1,49230
1,53333
1,62439
1,60952
1,53333
1,55652
1,54468
1,54468
1,53333
1,55652
1,58181
1,62439
1,71111
1,71111
1,62439
1,46545
1,69189
1,69189
1,91428
1,75294
1,102400
1,128000
1,320000
1,54468
1,196923
1,170666
1,128000
1,182857
1,62439
1,182857
1,196923
1,182857
1,320000
1,182857
1,256000
1,256000
1,256000
1,256000
1,512000
1,46545
1,94814
1,640000
1,512000
1,73142
1,59534
1,640000
1,365714
1,640000
1,1280000
1,853333
1,853333
1,426666
1,2560000
1,2560000
1,1280000
1,853333
1,284444
1,1280000
1,2560000
1,640000
1,1280000
1,1280000
1,640000
1,2560000
1,1280000
1,2560000
1,121904
1,49230
1,1280000
1,2560000
1,426666
1,232727
1,213333
1,365714
1,1280000
1,91428
1,170666
1,91428
1,365714
1,47407
1,51200
1,512000
1,134736
1,94814
1,365714
1,426666
1,160000
1,65641
1,150588
1,182857
1,182857
1,182857
1,170666
1,150588
1,160000
1,182857
1,160000
1,196923
1,41290
1,106666
1,142222
1,142222
1,121904
1,150588
1,170666
1,196923
1,150588
1,196923
1,182857
1,170666
1,284444
1,82580
1,196923
1,182857
1,82580
1,134736
1,20317
1,182857
1,160000
1,30117
1,33246
1,39384
1,26947
1,25600
1,170666
1,85333
1,170666
1,170666
1,116363
1,512000
1,20317
1,35555
1,182857
1,14628
1,15147
1,15609
1,15238
1,15802
1,15705
1,14712
1,14883
1,15609
1,15058
1,20813
1,15705
1,18028
1,21880
1,21157
1,22260
1,20000
1,29090
1,26122
1,111304
1,19844
1,121904
1,19844
1,116363
1,28131
1,14301
1,20317
1,14301
1,20983
1,111304
1,20813
1,22456
1,25346
1,23925
1,14797
1,16842
1,11277
1,11179
1,213333
1,11228
1,196923
1,182857
1,196923
1,14143
1,43389
1,11277
1,11636
1,11228
1,11228
1,232727
1,284444
1,196923
1,11179
1,365714
1,365714
1,196923
1,320000
1,284444
1,34594
1,170666
1,128000
1,91428
1,98461
1,10322
1,284444
1,365714
1,170666
1,23703
1,21512
1,170666
1,22068
1,73142
1,17902
1,82580
1,67368
1,106666
1,121904
1,56888
1,65641
1,150588
1,102400
1,71111
1,82580
1,98461
1,77575
1,94814
1,142222
1,121904
1,85333
1,111304
1,85333
1,196923
1,150588
1,65641
