n_pkt,thput
1,256000
1,256000
1,256000
1,256000
1,28444
1,11636
1,17066
1,10240
1,25600
1,6736
1,5953
1,3200
1,5224
1,3605
1,6095
1,3657
1,28444
1,51200
1,42666
1,85333
1,4266
1,64000
1,64000
1,5953
1,3820
1,10666
1,36571
1,51200
1,85333
1,42666
1,256000
1,23272
1,7111
1,21333
1,25600
1,42666
1,3121
1,128000
1,16000
1,85333
1,85333
1,64000
1,64000
1,64000
1,32000
1,3938
1,12800
1,256000
1,11636
1,3764
1,3413
1,256000
1,85333
1,2115
1,6095
1,6243
1,7314
1,6095
1,6095
1,7314
1,6736
1,7111
1,8258
1,7314
1,19692
1,9481
1,6918
1,128000
1,32000
1,85333
1,128000
1,8827
1,8827
1,17066
1,12190
1,256000
1,12800
1,12800
1,17066
1,9846
1,10240
1,8827
1,11130
1,9481
1,10666
1,9481
1,9142
1,12190
1,15058
1,15058
1,17066
1,9846
1,6095
1,10240
1,4413
1,8533
1,8827
1,7757
1,51200
1,7529
1,11636
1,42666
1,10240
1,6736
1,15058
1,9846
1,15058
1,18285
1,17066
1,10240
1,7529
1,9142
1,256000
1,11130
1,9846
1,10240
1,9846
1,16000
1,4830
1,5953
1,4923
1,6243
1,5688
1,5224
1,4413
1,17066
1,8000
1,5120
1,5446
1,15058
1,9846
1,3047
1,4491
1,2461
1,4740
1,4491
1,4740
1,1790
1,3413
1,3710
1,3413
1,3506
1,3324
1,19692
1,25600
1,23272
1,3084
1,15058
1,1828
1,3011
1,2876
1,3084
1,3200
1,2976
1,3160
1,3368
1,3368
1,7757
1,2370
1,2461
1,2976
1,3160
1,3084
1,2752
1,2723
1,2876
1,2666
1,2782
1,2752
1,2585
1,2909
1,2876
1,2560
1,1094
1,3413
1,8827
1,2782
1,6736
1,3368
1,28444
1,3047
1,32000
1,2188
1,1089
1,1142
1,1071
1,2133
1,1896
1,1142
1,2133
1,1910
1,1753
1,2206
1,2031
1,2133
1,2438
1,2265
1,2098
1,2306
1,2438
1,2151
1,2133
1,2115
