rtt,thput,total_time,total_data
0.013692,622237803.096699,7947999,8519680
0.015615,545608709.574127,7947999,8519680
0.014115,603590506.553312,7943999,8519680
0.011807,721578724.485475,7951999,8519680
0.012884,661260478.112387,7943999,8519680
0.011038,771849972.821163,7959999,8519680
0.012615,675361078.081649,7935999,8519680
0.012807,665236198.953697,7943999,8519680
0.014384,592302558.398220,7935999,8519680
0.012000,709973333.333333,7967999,8519680
0.015730,541619834.710744,7943999,8519680
0.015576,546974833.076528,7931999,8519680
0.015269,557972362.302705,7975999,8519680
0.014269,597076179.129582,7955999,8519680
0.015807,538981463.908395,7987999,8519680
0.015230,559401181.877873,7939999,8519680
0.014307,595490319.424058,7975999,8519680
0.014730,578389680.923286,7947999,8519680
0.011038,771849972.821163,7923999,8519680
0.011346,750897232.504848,7963999,8519680
0.013153,647736638.029347,7967999,8519680
0.012307,692262939.790363,7975999,8519680
0.012461,683707567.610946,7975999,8519680
0.010076,845541881.699087,7931999,8519680
0.008269,1030315636.715443,7935999,8519680
0.009615,886082163.286531,8023999,8519680
0.012538,679508693.571543,7927999,8519680
0.009884,861966815.054634,7915999,8519680
0.011461,743362708.315156,7919999,8519680
0.011192,761229449.606862,7947999,8519680
0.008000,1064960000.000000,7919999,8519680
0.009346,911585705.114487,7951999,8519680
0.008692,980174873.446848,7939999,8519680
0.008461,1006935350.431391,7939999,8519680
0.009923,858579058.752393,7927999,8519680
0.010538,808472195.862592,7955999,8519680
0.010846,785513553.383736,7939999,8519680
0.010307,826591636.751722,7967999,8519680
0.010653,799744672.862105,7919999,8519680
0.010423,817392305.478269,7967999,8519680
0.010153,839129321.382842,7959999,8519680
0.009884,861966815.054634,7975999,8519680
0.011538,738401802.738776,7943999,8519680
0.008346,1020809968.847352,7931999,8519680
0.009384,907894288.150043,7963999,8519680
0.008961,950751032.250865,7975999,8519680
0.007615,1118802363.755745,7999999,8519680
0.007846,1085862860.056079,7995999,8519680
0.007230,1178378976.486860,7943999,8519680
0.010961,777272146.701943,7919999,8519680
0.012307,692262939.790363,7955999,8519680
0.009192,926858137.510879,7959999,8519680
0.009423,904136686.830096,7947999,8519680
0.008269,1030315636.715443,7979999,8519680
0.009576,889690893.901420,7975999,8519680
0.008307,1025602503.912363,7983999,8519680
0.006423,1326433130.935700,8007999,8519680
0.007884,1080629122.272958,7931999,8519680
0.007461,1141895188.312559,7923999,8519680
0.009884,861966815.054634,7955999,8519680
0.007153,1191063889.277226,7936000,8519680
0.008692,980174873.446848,7952000,8519680
0.005884,1447940176.750510,7968000,8519680
0.009192,926858137.510879,7956000,8519680
0.010192,835918367.346939,7948000,8519680
0.009461,900505232.005073,7960000,8519680
0.006730,1265925705.794948,7936000,8519680
0.008807,967375950.948109,7980000,8519680
0.007423,1147740805.604203,7940000,8519680
0.007384,1153802816.901408,7936000,8519680
0.006769,1258631998.818141,7960000,8519680
0.010269,829650404.128932,7932000,8519680
0.007576,1124561774.023231,7944000,8519680
0.009307,915405608.681638,7940000,8519680
0.010076,845541881.699087,7952000,8519680
0.009192,926858137.510879,7952000,8519680
0.007538,1130230830.459008,7960000,8519680
0.008846,963111010.626272,7956000,8519680
0.008230,1035198055.893074,7960000,8519680
0.007076,1204024872.809497,7964000,8519680
0.008730,975908361.970218,7948000,8519680
0.007115,1197425158.116655,7956000,8519680
0.006038,1411010268.300762,7972000,8519680
0.006500,1310720000.000000,7976000,8519680
0.005576,1527919655.667145,7976000,8519680
0.006461,1318631790.744467,7992000,8519680
0.009307,915405608.681638,7904000,8519680
0.006115,1393242845.461979,7992000,8519680
0.006115,1393242845.461979,7940000,8519680
0.007500,1135957333.333333,7964000,8519680
0.007846,1085862860.056079,7968000,8519680
0.007000,1217097142.857143,7928000,8519680
0.006769,1258631998.818141,7964000,8519680
0.006153,1384638387.778320,7944000,8519680
0.007500,1135957333.333333,7932000,8519680
0.006730,1265925705.794948,7964000,8519680
0.006692,1273114166.168560,7972000,8519680
0.010153,839129321.382842,7912000,8519680
0.009538,893235479.136087,7980000,8519680
0.008730,975908361.970218,7948000,8519680
0.006846,1244475606.193398,7992000,8519680
0.007346,1159771304.111081,7976000,8519680
0.009307,915405608.681638,7948000,8519680
0.009538,893235479.136087,7956000,8519680
0.008230,1035198055.893074,7988000,8519680
0.008115,1049868145.409735,7996000,8519680
0.006269,1359017387.143085,7944000,8519680
0.008000,1064960000.000000,7944000,8519680
0.007269,1172056679.048012,7936000,8519680
0.005807,1467139659.032202,7956000,8519680
0.007576,1124561774.023231,7952000,8519680
0.009423,904136686.830096,7956000,8519680
0.007884,1080629122.272958,7992000,8519680
0.007961,1070177113.427961,7956000,8519680
0.007153,1191063889.277226,7944000,8519680
0.008038,1059925354.565812,7944000,8519680
0.006115,1393242845.461979,8004000,8519680
0.009653,882594012.224179,7936000,8519680
0.010307,826591636.751722,7936000,8519680
0.006192,1375917312.661499,7996000,8519680
