rtt,thput,total_time,total_data
90.296306,94352.475504,131343998,8519680
90.246536,94404.509886,131339998,8519680
90.301421,94347.131038,131335998,8519680
90.329190,94318.126842,131335998,8519680
90.481036,94159.841406,131327998,8519680
90.678190,93955.117543,131327998,8519680
90.558575,94079.218892,131319998,8519680
90.579305,94057.687901,131319998,8519680
91.351344,93262.776736,131607998,8519680
91.951613,92653.948333,131523998,8519680
91.560690,93049.539054,131519998,8519680
91.501421,93109.810830,131527998,8519680
91.449921,93162.245597,131527998,8519680
91.523613,93087.234220,131527998,8519680
91.607805,93001.682553,131527998,8519680
91.667882,92940.731411,131515998,8519680
91.840036,92766.514159,131507998,8519680
91.881152,92725.001968,131503998,8519680
92.085267,92519.468940,131495998,8519680
91.976229,92629.150952,131499998,8519680
92.097075,92507.606783,131491998,8519680
92.833767,91773.503062,131739997,8519680
92.901805,91706.291390,131683997,8519680
92.996536,91612.874699,131647997,8519680
93.247113,91366.689283,131631997,8519680
93.171613,91440.726694,131635997,8519680
93.222729,91390.587804,131631997,8519680
94.052536,90584.266649,131807997,8519680
94.011267,90624.031266,131783997,8519680
94.146075,90494.266490,131775997,8519680
94.448459,90204.542141,131771997,8519680
94.526305,90130.255277,131771997,8519680
94.274767,90370.735151,131763997,8519680
95.233113,89461.320035,131879997,8519680
95.298075,89400.336785,131879997,8519680
95.329613,89370.760374,131875997,8519680
95.348036,89353.492294,131875997,8519680
95.405921,89299.279444,131875997,8519680
95.516228,89196.152093,131867997,8519680
95.651190,89070.298028,131867997,8519680
95.589228,89128.034385,131863997,8519680
95.664075,89058.301144,131863997,8519680
96.504075,88283.111361,131991997,8519680
96.425728,88354.842392,131979997,8519680
96.458075,88325.212793,131983997,8519680
96.518228,88270.165921,131983997,8519680
96.739805,88067.988146,131959997,8519680
96.991652,87839.312192,131955997,8519680
97.089536,87750.754108,131951997,8519680
97.247575,87608.148584,131943997,8519680
97.385959,87483.658707,131939997,8519680
97.490036,87390.264170,131943997,8519680
97.099267,87741.959988,132107997,8519680
98.271113,86695.670171,132019997,8519680
98.556651,86444.495765,132019997,8519680
98.666421,86348.323104,132015997,8519680
98.689536,86328.098655,132011997,8519680
98.747921,86277.056911,131999997,8519680
98.770536,86257.302481,132003997,8519680
99.251728,85839.110025,132127997,8519680
99.372151,85735.086886,132119997,8519680
99.402575,85708.846074,132031997,8519680
99.401344,85709.907504,132063997,8519680
99.446998,85670.559910,132055997,8519680
99.490959,85632.705581,132023997,8519680
99.506036,85619.730646,132015997,8519680
100.089805,85120.357663,132143997,8519680
100.096613,85114.568262,132083997,8519680
100.146228,85072.400330,132079997,8519680
100.142113,85075.896092,132079997,8519680
100.177305,85046.009173,132079997,8519680
100.160574,85060.215410,132079997,8519680
100.153228,85066.454373,132075997,8519680
100.211921,85016.631904,132051997,8519680
100.216498,85012.749098,132055997,8519680
100.237344,84995.069303,132059997,8519680
100.244574,84988.939152,132055997,8519680
100.252767,84981.993564,132047997,8519680
100.277728,84960.839958,132039997,8519680
100.924305,84416.533758,132079997,8519680
100.968421,84379.649752,132059997,8519680
101.002305,84351.342279,132063997,8519680
101.078574,84287.694838,132043997,8519680
101.124882,84249.097072,132027997,8519680
101.175844,84206.661029,132027997,8519680
101.224998,84165.770989,132027997,8519680
101.392305,84026.889417,132167997,8519680
101.473421,83959.719856,132159997,8519680
101.540151,83904.543337,132139997,8519680
