rtt,thput,total_time,total_data
12.251653,695390.246524,29727999,8519680
12.326576,691163.547769,29799999,8519680
12.327345,691120.431853,29799999,8519680
12.368653,688812.274061,29795999,8519680
12.333268,690788.524177,29795999,8519680
12.336076,690631.283400,29771999,8519680
12.362961,689129.408400,29763999,8519680
12.436499,685054.531826,29755999,8519680
12.375576,688426.946754,29755999,8519680
12.421884,685860.534521,29751999,8519680
12.400422,687047.585961,29747999,8519680
12.461884,683659.067923,29739999,8519680
12.459537,683787.848617,29727999,8519680
12.671153,672368.173599,29811999,8519680
12.584884,676977.237136,29787999,8519680
12.556576,678503.439154,29779999,8519680
12.570307,677762.285360,29763999,8519680
12.580191,677229.781328,29751999,8519680
12.574807,677519.742450,29747999,8519680
12.645537,673730.186389,29715999,8519680
12.582268,677117.988585,29735999,8519680
12.641845,673926.946581,29723999,8519680
12.650845,673447.504890,29719999,8519680
12.669653,672447.777378,29703999,8519680
12.797230,665744.071178,29763999,8519680
12.881576,661384.911287,29679999,8519680
12.820114,664555.712999,29683999,8519680
12.996422,655540.424895,29691999,8519680
12.989691,655880.112930,29711999,8519680
12.986345,656049.103886,29703999,8519680
13.004307,655142.946102,29679999,8519680
13.003691,655173.980987,29691999,8519680
13.025384,654082.827808,29679999,8519680
13.009576,654877.607080,29671999,8519680
12.994691,655627.748286,29691999,8519680
13.013230,654693.723234,29667999,8519680
13.021230,654291.491664,29671999,8519680
13.108384,649941.289483,29655999,8519680
13.110499,649836.440245,29655999,8519680
13.088845,650911.520459,29659999,8519680
13.116691,649529.671775,29659999,8519680
13.094422,650634.292984,29647999,8519680
13.127768,648981.609060,29651999,8519680
13.109730,649874.558820,29651999,8519680
13.452153,633332.077029,29703999,8519680
13.631922,624980.101852,29495999,8519680
13.476922,632168.087045,29551999,8519680
13.673114,623097.269576,29491999,8519680
13.678884,622834.435909,29487999,8519680
13.663307,623544.505002,29483999,8519680
13.668999,623284.850632,29491999,8519680
13.634384,624867.247395,29503999,8519680
13.692768,622202.903022,29483999,8519680
13.736845,620206.459343,29479999,8519680
13.751384,619550.730312,29479999,8519680
13.745076,619835.059479,29487999,8519680
13.687422,622445.921518,29483999,8519680
13.694768,622112.035779,29487999,8519680
13.697499,621987.999415,29487999,8519680
13.765384,618920.620013,29471999,8519680
13.708499,621488.902614,29471999,8519680
13.715499,621171.712382,29467999,8519680
13.765076,618934.468651,29459999,8519680
13.853460,614985.714760,29503999,8519680
15.802922,539120.549984,28743999,8519680
15.803960,539085.140686,28743999,8519680
15.801422,539171.727709,28739999,8519680
15.814383,538729.838527,28731999,8519680
16.017345,531903.383488,28671999,8519680
16.017845,531886.780026,28675999,8519680
16.011537,532096.325293,28671999,8519680
16.025230,531641.667545,28671999,8519680
15.901730,535770.636277,28755999,8519680
15.943807,534356.694107,28739999,8519680
15.962076,533745.109345,28723999,8519680
15.911691,535435.234382,28735999,8519680
15.895614,535976.779507,28767999,8519680
16.009999,532147.441109,28719999,8519680
15.905768,535634.620095,28739999,8519680
15.967268,533571.554007,28719999,8519680
14.999499,567997.637788,34127999,8519680
15.076576,565093.825017,34123999,8519680
15.030384,566830.494816,34107999,8519680
15.021922,567149.796145,34107999,8519680
15.110845,563812.281841,34103999,8519680
15.045615,566256.680102,34099999,8519680
15.132653,562999.759527,34079999,8519680
15.068192,565408.245395,34087999,8519680
15.117230,563574.146851,34083999,8519680
15.127730,563182.975899,34079999,8519680
15.121845,563402.150994,34087999,8519680
15.125615,563261.725226,34083999,8519680
15.101384,564165.509598,34079999,8519680
15.154422,562191.022528,34071999,8519680
15.327461,555844.180585,34111999,8519680
15.356999,554775.057288,34111999,8519680
15.369269,554332.154639,34099999,8519680
15.336538,555515.201671,34111999,8519680
15.312961,556370.515147,34115999,8519680
15.631653,545027.451671,34095999,8519680
15.539999,548241.991521,34099999,8519680
16.146538,527647.474648,33999999,8519680
16.157999,527273.210006,33999999,8519680
16.255230,524119.314215,34027999,8519680
16.279730,523330.546637,34011999,8519680
16.311768,522302.671298,34011999,8519680
16.298230,522736.518015,34007999,8519680
16.341692,521346.259616,34003999,8519680
16.291384,522956.183465,34007999,8519680
16.400422,519479.315837,33999999,8519680
16.545115,514936.281797,33979999,8519680
16.519192,515744.353598,33991999,8519680
16.594576,513401.487329,33963999,8519680
18.613345,457718.910814,33547999,8519680
18.653538,456732.658437,33519999,8519680
18.570076,458785.413695,33547999,8519680
18.645499,456929.578554,33531999,8519680
18.635191,457182.327780,33527999,8519680
18.658345,456614.989164,33519999,8519680
19.165115,444541.031974,33443999,8519680
18.855230,451847.047212,33519999,8519680
18.671845,456284.850265,33503999,8519680
19.180345,444188.047712,33427999,8519680
19.051845,447183.986643,33467999,8519680
18.832615,452389.644242,33523999,8519680
19.193345,443887.191107,33391999,8519680
19.203538,443651.581287,33379999,8519680
19.394961,439272.860616,33347999,8519680
19.344576,440416.993373,33351999,8519680
18.787307,453480.639881,33551999,8519680
18.770345,453890.431955,33547999,8519680
18.809076,452955.796446,33523999,8519680
18.815653,452797.466025,33523999,8519680
18.887191,451082.429356,33511999,8519680
18.849999,451972.437770,33523999,8519680
18.887615,451072.303200,33507999,8519680
19.418768,438734.321353,33383999,8519680
18.924807,450185.832807,33487999,8519680
18.939461,449837.511215,33483999,8519680
18.923845,450208.718154,33491999,8519680
19.046922,447299.568928,33483999,8519680
18.899422,450790.505657,33511999,8519680
18.914461,450432.079455,33503999,8519680
19.127538,445414.354947,33443999,8519680
19.118384,445627.622084,33451999,8519680
19.045268,447338.414981,33479999,8519680
19.153845,444802.597076,33439999,8519680
19.102845,445990.112991,33451999,8519680
19.171230,444399.237816,33439999,8519680
19.178345,444234.369545,33427999,8519680
19.180999,444172.902569,33431999,8519680
19.417653,438759.514345,33383999,8519680
19.317691,441029.934685,33395999,8519680
19.315576,441078.226194,33415999,8519680
19.306115,441294.377455,33415999,8519680
19.432538,438423.431875,33375999,8519680
19.390268,439379.177224,33387999,8519680
19.420845,438687.400059,33383999,8519680
19.428345,438518.051846,33375999,8519680
19.437191,438318.479249,33379999,8519680
