rtt,thput,total_time,total_data
51.551614,165265.048733,79311999,8519680
51.704076,164777.724681,79291999,8519680
51.701768,164785.080464,79295999,8519680
51.701229,164786.798395,79299999,8519680
51.757345,164608.134362,79295999,8519680
51.773999,164555.185316,79291999,8519680
51.788152,164510.214614,79283999,8519680
51.798076,164478.696081,79279999,8519680
52.233345,163108.068227,79383999,8519680
52.277499,162970.305829,79323999,8519680
52.329076,162809.677740,79319999,8519680
52.339460,162777.376763,79319999,8519680
52.486768,162320.530005,79307999,8519680
52.488614,162314.821268,79307999,8519680
52.511422,162244.320864,79299999,8519680
53.144268,160312.303107,79355999,8519680
52.885037,161098.119304,79355999,8519680
52.911922,161016.263972,79355999,8519680
52.913922,161010.178002,79351999,8519680
53.006922,160727.687603,79343999,8519680
53.020383,160686.881496,79335999,8519680
53.073383,160526.416792,79335999,8519680
53.025845,160670.329723,79335999,8519680
53.173460,160224.292344,79323999,8519680
53.180537,160202.970497,79323999,8519680
53.181037,160201.464293,79327999,8519680
53.220345,160083.141137,79323999,8519680
53.238422,160028.785226,79303999,8519680
53.552576,159090.012775,79395999,8519680
53.640114,158830.385782,79343999,8519680
53.743422,158525.074938,79331999,8519680
53.796383,158369.011537,79323999,8519680
53.891960,158088.145245,79319999,8519680
53.899922,158064.792747,79319999,8519680
53.936999,157956.136937,79311999,8519680
53.945422,157931.473777,79311999,8519680
53.973999,157847.855594,79303999,8519680
54.017152,157721.754749,79283999,8519680
54.285960,156940.763321,79375999,8519680
54.293614,156918.638719,79371999,8519680
54.317460,156849.749602,79347999,8519680
54.295383,156913.526146,79339999,8519680
54.345883,156767.716885,79327999,8519680
54.384345,156656.846745,79323999,8519680
54.660999,155863.964360,79283999,8519680
54.674960,155824.165212,79275999,8519680
55.115845,154577.689955,79275999,8519680
55.231152,154254.975525,79259999,8519680
55.360383,153894.889058,79247999,8519680
55.393922,153801.711314,79231999,8519680
55.375652,153852.454866,79235999,8519680
55.751729,152814.632888,79259999,8519680
55.784460,152724.970359,79255999,8519680
55.846845,152554.365426,79243999,8519680
56.058268,151979.008699,79235999,8519680
56.008229,152114.790132,79235999,8519680
55.954537,152260.754119,79239999,8519680
55.809845,152655.503702,79247999,8519680
56.119114,151814.228571,79239999,8519680
56.249883,151461.292817,79231999,8519680
56.437152,150958.715989,79223999,8519680
56.553229,150648.869227,79227999,8519680
56.327999,151251.245406,79235999,8519680
56.696614,150267.880195,79319999,8519680
56.414575,151019.129365,79235999,8519680
57.173537,149014.394544,79167999,8519680
57.849845,147272.304705,79123999,8519680
57.996383,146900.195483,79091999,8519680
57.647729,147788.649228,79151999,8519680
58.441691,145780.860448,79043999,8519680
58.419883,145835.280088,79051999,8519680
57.292460,148705.082658,79283999,8519680
57.307383,148666.359446,79299999,8519680
58.411383,145856.501977,79091999,8519680
58.452152,145754.770500,79083999,8519680
58.458499,145738.945504,79083999,8519680
58.467537,145716.416958,79075999,8519680
61.976383,137466.557221,78379999,8519680
61.977075,137465.022349,78379999,8519680
61.978383,137462.121269,78375999,8519680
61.979422,137459.816905,78371999,8519680
62.302691,136746.581299,78351999,8519680
62.300922,136750.464142,78359999,8519680
62.313114,136723.707950,78351999,8519680
62.305768,136739.828004,78355999,8519680
62.314960,136719.657687,78335999,8519680
62.315729,136717.970514,78347999,8519680
62.333114,136679.839226,78323999,8519680
62.321114,136706.157082,78331999,8519680
62.336960,136671.406498,78327999,8519680
62.647768,135993.352548,78295999,8519680
62.333383,136679.249384,78307999,8519680
62.655883,135975.739102,78291999,8519680
62.661345,135963.886508,78275999,8519680
62.660114,135966.557610,78291999,8519680
62.662460,135961.467201,78275999,8519680
62.669845,135945.445533,78259999,8519680
62.680729,135921.839709,78251999,8519680
62.676729,135930.514179,78235999,8519680
62.666075,135953.624030,78271999,8519680
49.232806,173048.840645,75359999,8519680
49.240653,173021.263548,75359999,8519680
49.343153,172661.848342,75351999,8519680
49.290576,172846.022331,75355999,8519680
49.447806,172296.420998,75339999,8519680
49.376537,172545.109836,75335999,8519680
49.473230,172207.878887,75327999,8519680
49.481806,172178.032467,75319999,8519680
49.465268,172235.597713,75327999,8519680
49.793653,171099.718271,75407999,8519680
49.969730,170496.818774,75347999,8519680
50.120845,169982.768646,75335999,8519680
50.146960,169894.246830,75315999,8519680
50.464806,168824.190070,75387999,8519680
50.470845,168803.989709,75371999,8519680
50.524730,168623.959000,75343999,8519680
50.675768,168121.379039,75319999,8519680
50.789614,167744.531392,75311999,8519680
50.797999,167716.842547,75311999,8519680
51.243037,166260.247221,75331999,8519680
51.136806,166605.634306,75327999,8519680
51.173153,166487.298525,75319999,8519680
51.279499,166142.028806,75311999,8519680
51.456306,165571.154680,75275999,8519680
51.220383,166333.781612,75307999,8519680
51.231922,166296.318143,75307999,8519680
51.225614,166316.796125,75303999,8519680
51.340345,165945.125612,75303999,8519680
51.332306,165971.113786,75303999,8519680
51.312922,166033.811132,75303999,8519680
51.436460,165635.037870,75291999,8519680
51.440230,165622.898653,75283999,8519680
51.510537,165396.839097,75275999,8519680
51.517883,165373.254953,75271999,8519680
51.825845,164390.566135,75327999,8519680
51.913653,164112.511982,75327999,8519680
51.838037,164351.902446,75327999,8519680
51.867499,164258.546571,75291999,8519680
51.861614,164277.185820,75295999,8519680
51.894691,164172.477682,75279999,8519680
51.946730,164008.013594,75287999,8519680
51.852268,164306.795606,75299999,8519680
51.872922,164241.374334,75299999,8519680
51.883999,164206.309541,75299999,8519680
51.928653,164065.106792,75283999,8519680
51.991499,163866.789069,75275999,8519680
52.087422,163565.015754,75263999,8519680
52.113076,163484.496674,75263999,8519680
52.127230,163440.106064,75259999,8519680
52.173922,163293.838635,75259999,8519680
52.353268,162734.444772,75247999,8519680
52.207383,163189.179584,75251999,8519680
52.527999,162193.119140,75315999,8519680
52.503691,162268.210820,75275999,8519680
52.490191,162309.944729,75299999,8519680
53.023076,160678.720337,75267999,8519680
52.652306,161810.196879,75247999,8519680
52.584922,162017.545638,75267999,8519680
52.546191,162136.966312,75271999,8519680
52.628153,161884.457545,75275999,8519680
52.877345,161121.554042,75207999,8519680
53.339114,159726.687624,75171999,8519680
53.508768,159220.260874,75147999,8519680
53.348114,159699.741213,75171999,8519680
53.304614,159830.066493,75175999,8519680
53.461268,159361.727073,75155999,8519680
53.504730,159232.277221,75151999,8519680
53.897345,158072.350317,75147999,8519680
55.276499,154128.429878,74971999,8519680
55.576422,153296.662387,74955999,8519680
54.668499,155842.581301,75067999,8519680
54.885922,155225.232438,75003999,8519680
54.897153,155193.476062,74991999,8519680
54.203999,157178.070939,75075999,8519680
54.013691,157731.860983,75115999,8519680
53.534537,159143.619753,75151999,8519680
53.548191,159103.040474,75135999,8519680
54.108883,157454.368444,75083999,8519680
53.990768,157798.829607,75099999,8519680
54.205576,157173.498166,75071999,8519680
54.225383,157116.087128,75063999,8519680
54.211306,157156.885318,75075999,8519680
54.757499,155589.282849,75019999,8519680
54.868960,155273.218228,75003999,8519680
55.285114,154104.412265,74971999,8519680
54.556806,156161.634536,75143999,8519680
54.640383,155922.772357,75071999,8519680
54.550037,156181.012306,75091999,8519680
54.748460,155614.970722,75083999,8519680
54.522768,156259.124628,75107999,8519680
54.620191,155980.413910,75075999,8519680
54.723037,155687.265676,75063999,8519680
54.911383,155153.258478,75023999,8519680
55.213537,154304.188120,75023999,8519680
55.272960,154138.298365,75011999,8519680
55.420229,153728.704369,74991999,8519680
55.429383,153703.316524,74987999,8519680
55.508153,153485.200633,74979999,8519680
55.892729,152429.129020,74947999,8519680
55.561153,153338.790504,74967999,8519680
