rtt,thput,total_time,total_data
17.597192,484149.971200,35431999,8519680
17.768499,479482.256774,35499999,8519680
17.859807,477030.910804,35427999,8519680
17.833384,477737.708110,35423999,8519680
17.811576,478322.636919,35415999,8519680
17.815076,478228.664307,35415999,8519680
17.855038,477158.323606,35407999,8519680
17.871115,476729.068108,35407999,8519680
17.864923,476894.302875,35403999,8519680
17.903846,475857.533627,35407999,8519680
17.911615,475651.134753,35395999,8519680
17.906769,475779.857327,35395999,8519680
17.916730,475515.342364,35391999,8519680
17.917576,475492.890333,35387999,8519680
17.878423,476534.199912,35391999,8519680
18.079499,471234.296924,35391999,8519680
18.121307,470147.103628,35391999,8519680
18.161769,469099.678561,35379999,8519680
18.154615,469284.531784,35383999,8519680
18.203576,468022.327042,35379999,8519680
18.134153,469814.057486,35383999,8519680
18.130038,469920.691837,35387999,8519680
18.200192,468109.347418,35387999,8519680
18.210269,467850.310174,35375999,8519680
18.228692,467377.472832,35355999,8519680
18.223461,467511.632395,35359999,8519680
18.171307,468853.451213,35375999,8519680
18.219884,467603.416136,35371999,8519680
18.154538,469286.522191,35383999,8519680
18.181923,468579.698638,35375999,8519680
18.362115,463981.409549,35431999,8519680
18.364038,463932.823489,35431999,8519680
19.297192,441498.431482,35139999,8519680
18.460615,461505.751569,35339999,8519680
18.916999,450371.647215,35243999,8519680
18.462615,461455.758028,35335999,8519680
19.347807,440343.445642,35115999,8519680
19.586307,434981.438818,35063999,8519680
18.968730,449143.406016,35227999,8519680
18.951923,449541.716690,35223999,8519680
18.422423,462462.511039,35363999,8519680
18.416115,462620.916518,35355999,8519680
18.421538,462484.728474,35355999,8519680
18.646730,456899.413463,35315999,8519680
18.434499,462159.562893,35351999,8519680
18.627000,457383.368229,35331999,8519680
18.632615,457245.534242,35331999,8519680
18.510153,460270.641739,35323999,8519680
18.651269,456788.221756,35307999,8519680
18.696269,455688.779403,35279999,8519680
18.997230,448469.592672,35255999,8519680
18.652730,456752.443208,35303999,8519680
18.694076,455742.236204,35287999,8519680
18.913807,450447.654457,35251999,8519680
18.934999,449943.514652,35223999,8519680
18.979538,448887.638888,35211999,8519680
19.009999,448168.356032,35207999,8519680
18.938307,449864.921928,35219999,8519680
18.954423,449482.424234,35223999,8519680
18.975730,448977.720488,35219999,8519680
18.992961,448570.394053,35203999,8519680
19.031961,447651.190542,35195999,8519680
19.072115,446708.715840,35187999,8519680
18.998653,448436.002279,35203999,8519680
18.992923,448571.291528,35211999,8519680
19.200115,443730.675571,35167999,8519680
19.266538,442200.876982,35139999,8519680
19.348769,440321.552239,35119999,8519680
19.298807,441461.485158,35135999,8519680
19.493769,437046.319775,35095999,8519680
19.261923,442306.824713,35139999,8519680
19.276192,441979.411701,35135999,8519680
19.476230,437439.894682,35099999,8519680
19.625076,434122.140470,35039999,8519680
19.548269,435827.847468,35071999,8519680
19.540423,436002.843951,35075999,8519680
19.579038,435142.931946,35063999,8519680
19.577307,435181.406717,35067999,8519680
19.751038,431353.531900,35035999,8519680
19.551538,435754.977435,35067999,8519680
23.452576,363272.674183,44343999,8519680
23.458306,363183.940051,44343999,8519680
23.485614,362761.646342,44339999,8519680
23.664499,360019.453613,44419999,8519680
23.661306,360068.036819,44415999,8519680
23.742153,358841.929795,44383999,8519680
23.728691,359045.511613,44395999,8519680
23.830806,357507.001652,44391999,8519680
23.839922,357370.296765,44359999,8519680
