rtt,thput,total_time,total_data
0.004427,1905976959.566298,7920000,8437760
0.004461,1909813943.062094,7940000,8519680
0.004313,1937361465.337352,7932000,8355840
0.004000,2129920000.000000,7940000,8519680
0.004115,2070396111.786148,7928000,8519680
0.003884,2193532440.782698,7980000,8519680
0.004192,2032366412.213740,7940000,8519680
0.004233,1993328608.551855,7912000,8437760
0.004038,2089588905.398712,7948000,8437760
0.004269,1995708596.861091,7972000,8519680
0.004192,2032366412.213740,7928000,8519680
0.004514,1832946389.011963,7944000,8273920
0.004307,1978100766.194567,7960000,8519680
0.003653,2332241992.882562,7984000,8519680
0.004153,2051451962.436793,7948000,8519680
0.004076,2090206084.396467,7980000,8519680
0.003576,2382460850.111857,7976000,8519680
0.003720,2202150537.634408,7972000,8192000
0.003346,2546228332.337119,7964000,8519680
0.003538,2408049745.618994,7984000,8519680
0.004310,1957716937.354989,7940000,8437760
0.004192,2032366412.213740,7984000,8519680
0.005861,1411690837.741000,7924000,8273920
0.005647,1479695413.493891,7940000,8355840
0.005425,1525146543.778802,7936000,8273920
0.004846,1758085018.572018,7964000,8519680
0.004807,1772348658.206782,7976000,8519680
0.004699,1795650138.327304,7964000,8437760
0.005360,1528358208.955224,7948000,8192000
0.004745,1760977871.443625,7960000,8355840
0.004831,1712672324.570482,7944000,8273920
0.005040,1625396825.396825,7944000,8192000
0.004594,1801027427.078799,7968000,8273920
0.004948,1605949878.738884,7940000,7946240
0.005176,1614343122.102009,7948000,8355840
0.004196,1991382268.827455,7948000,8355840
0.004117,2029594364.828759,7964000,8355840
0.004153,2051451962.436793,7984000,8519680
0.004271,1975593537.813159,7964000,8437760
0.004316,1917034291.010195,7980000,8273920
