rtt,thput,total_time,total_data
0.006153,1384638387.778320,7944000,8519680
0.005623,1471442290.592211,7908000,8273920
0.005882,1420578034.682081,7952000,8355840
0.005725,1459535371.179039,7960000,8355840
0.005359,1574502705.728681,7972000,8437760
0.004118,2009208353.569694,7968000,8273920
0.005227,1582919456.667305,7952000,8273920
0.004737,1781245514.038421,7984000,8437760
0.005918,1356566407.570125,7948000,8028160
0.006431,1299306484.217073,7972000,8355840
0.005575,1454722869.955157,7928000,8110080
0.005730,1486855148.342059,7928000,8519680
0.004970,1697738430.583501,8004000,8437760
0.005777,1403856673.013675,7924000,8110080
0.006222,1303452266.152363,7928000,8110080
0.006040,1356291390.728477,7920000,8192000
0.006485,1301119506.553585,7936000,8437760
0.005829,1321063647.280837,7924000,7700480
0.005607,1490251471.375067,7960000,8355840
0.006666,1179765976.597660,7936000,7864320
0.005469,1467939294.203694,7940000,8028160
0.005960,1374496644.295302,7956000,8192000
0.005760,1422222222.222222,7960000,8192000
0.006020,1347189368.770764,7972000,8110080
0.005010,1553373253.493014,7956000,7782400
0.005020,1599235059.760956,7948000,8028160
0.005265,1524816714.150048,7928000,8028160
0.005359,1574502705.728681,7968000,8437760
0.004823,1732498444.951275,7944000,8355840
0.004823,1732498444.951275,7988000,8355840
0.004627,1805887183.920467,7956000,8355840
0.004720,1735593220.338983,7952000,8192000
0.005755,1394988705.473501,7984000,8028160
0.004893,1724455344.369508,7940000,8437760
0.004666,1790792970.424346,7960000,8355840
0.005333,1566817926.120383,7960000,8355840
0.004941,1691123254.401943,7956000,8355840
0.005269,1616944391.725185,7980000,8519680
0.006431,1299306484.217073,7960000,8355840
0.005592,1508898426.323319,7980000,8437760
0.005048,1671505546.751189,7900000,8437760
0.004884,1744406224.406224,7920000,8519680
0.004194,2011864568.431092,7920000,8437760
0.004846,1758085018.572018,7940000,8519680
0.004530,1772220750.551876,7940000,8028160
0.004901,1704925525.402979,7940000,8355840
0.004384,1943357664.233577,7952000,8519680
0.004615,1846084507.042253,7928000,8519680
0.004980,1677879518.072289,7956000,8355840
0.004076,2090206084.396467,7948000,8519680
0.004884,1744406224.406224,7956000,8519680
0.004653,1831007951.859016,7936000,8519680
0.004705,1775948990.435707,7948000,8355840
0.003692,2307605633.802817,7984000,8519680
0.004466,1889332736.229288,7936000,8437760
0.004153,2051451962.436793,7952000,8519680
0.005333,1520735045.940371,7916000,8110080
0.004388,1922917046.490428,7952000,8437760
0.004831,1712672324.570482,7936000,8273920
0.005019,1664841601.912732,7952000,8355840
0.005108,1619796397.807361,7964000,8273920
0.004514,1832946389.011963,8008000,8273920
0.004509,1853147039.254824,7916000,8355840
0.005821,1421391513.485656,7936000,8273920
0.004950,1671498989.898990,7956000,8273920
0.005072,1566687697.160883,7948000,7946240
0.004077,2069600196.222713,7968000,8437760
0.004121,1967988352.341665,7964000,8110080
0.005160,1587596899.224806,7948000,8192000
0.004582,1841501527.717154,7972000,8437760
0.004621,1825959748.972084,7960000,8437760
0.004990,1658100200.400802,7948000,8273920
0.004489,1788407217.643128,7984000,8028160
0.004156,2010548604.427334,7964000,8355840
0.004554,1816846728.151076,7932000,8273920
0.004194,2011864568.431092,7944000,8437760
0.005165,1633641819.941917,7932000,8437760
0.004000,2129920000.000000,7972000,8519680
0.004423,1926222021.252544,7940000,8519680
0.005230,1629001912.045889,7948000,8519680
