rtt,thput,total_time,total_data
0.329666,8945781.487930,7612000,2949120
0.243647,11431620.335978,5320000,2785280
0.205809,16717636.254974,5420000,3440640
0.225951,14864815.822900,5924000,3358720
0.260421,11953567.492637,6232000,3112960
0.276195,12160683.575010,7108000,3358720
0.291600,11237311.385460,7456000,3276800
0.299904,11472471.190781,8024000,3440640
0.214256,14911507.729072,5256000,3194880
0.215076,14854656.028567,5340000,3194880
0.209560,16027486.161481,5404000,3358720
0.233100,14057486.057486,5924000,3276800
0.218439,15376008.862886,5720000,3358720
0.267692,11934910.270012,6656000,3194880
0.252512,12652388.797364,6276000,3194880
0.200000,15974400.000000,4824000,3194880
0.318526,9773016.959369,7580000,3112960
0.254300,12885568.226504,6400000,3276800
0.288300,11365938.258758,7072000,3276800
0.260266,9442647.137928,4852000,2457600
0.288105,10804949.584353,6752000,3112960
0.330054,9183466.947833,7624000,3031040
0.348972,8685625.207753,7976000,3031040
0.303384,7020541.623817,4972000,2129920
0.297777,7427840.296598,4956000,2211840
0.244133,10066644.001425,4840000,2457600
0.289379,8209579.824383,5140000,2375680
0.223473,13929915.470773,5228000,3112960
0.221128,14448102.456496,5288000,3194880
0.249405,12153084.340731,5628000,3031040
0.241777,12197686.297704,5308000,2949120
0.244111,12081061.484325,5412000,2949120
0.219897,14528984.024339,5264000,3194880
0.228000,14012631.578947,5428000,3194880
0.238631,13045077.965562,5588000,3112960
0.255771,11210027.720109,5464000,2867200
0.253368,12286318.714281,5840000,3112960
0.286705,9714793.951972,5924000,2785280
0.262974,12149033.744781,6188000,3194880
0.299777,9837712.699773,6796000,2949120
0.309939,8722232.439286,6380000,2703360
0.373212,7243496.993666,7660000,2703360
0.244258,10396875.434991,4720000,2539520
0.301789,10315021.422252,7104000,3112960
0.230750,11360520.043337,4704000,2621440
0.445000,5154516.853933,8000000,2293760
0.352363,5114725.439391,4808000,1802240
0.340869,5527519.369611,4972000,1884160
0.229473,13565691.824310,5276000,3112960
0.278421,11180765.818670,6524000,3112960
0.194378,15593534.247703,4532000,3031040
2.536424,2131630.989141,10228000,5406720
2.039529,2048472.956256,10452000,4177920
2.814471,2590497.468263,10836000,7290880
2.547533,1929396.007824,10764000,4915200
2.581142,2665982.731675,11008000,6881280
3.066138,2698482.586237,10972000,8273920
2.608759,2480750.425777,10968000,6471680
2.671492,2177180.392081,10896000,5816320
2.542313,2674477.926203,10992000,6799360
0.036192,235402298.850575,8256000,8519680
0.037384,227896426.278622,8244000,8519680
0.039960,207055055.055055,8220000,8273920
0.039300,214701272.264631,8236000,8437760
0.040000,210944000.000000,8236000,8437760
0.039692,214644764.688098,8272000,8519680
0.039615,215061971.475451,8212000,8519680
0.040076,212588082.642978,8204000,8519680
0.038307,222405304.513535,8232000,8519680
0.043262,195038602.006380,8184000,8437760
0.043884,194140916.962902,8132000,8519680
0.043722,189239284.570697,8168000,8273920
0.042851,193085808.965952,8188000,8273920
0.042446,198788107.242143,8212000,8437760
0.043500,195854712.643678,8136000,8519680
0.046969,169180523.323895,8116000,7946240
0.044388,190091015.589799,8104000,8437760
0.042834,196987439.884204,8188000,8437760
0.044621,189098406.579861,8100000,8437760
0.045148,183262160.007088,8104000,8273920
0.044427,189924145.227002,8132000,8437760
0.042705,195664207.938181,8180000,8355840
0.044000,191767272.727273,8128000,8437760
0.044453,178755989.472027,8080000,7946240
0.044000,184320000.000000,8096000,8110080
0.041725,200259796.285201,8172000,8355840
0.042440,193025447.690858,8188000,8192000
0.041320,198257502.420136,8192000,8192000
0.041864,201551691.190522,8196000,8437760
0.043326,190968933.204081,8096000,8273920
0.045265,177359107.478184,8112000,8028160
0.043922,192107827.512408,8060000,8437760
0.042757,197342189.582992,8096000,8437760
0.041708,202305552.891532,8180000,8437760
0.044440,184338433.843384,8116000,8192000
0.041176,202929862.055566,8200000,8355840
0.041076,207412601.032233,8216000,8519680
0.041821,197841275.914015,8208000,8273920
0.041475,203442073.538276,8176000,8437760
0.043128,191845668.707104,8148000,8273920
0.042912,196629381.058911,8088000,8437760
0.042178,196166721.987766,8188000,8273920
0.044038,191601798.446796,8076000,8437760
0.043192,197251342.841267,8104000,8519680
0.049021,157085330.776606,8144000,7700480
0.041294,202349978.205066,8168000,8355840
0.044444,182478624.786248,8084000,8110080
0.044349,190258179.440348,8152000,8437760
0.042868,189187272.557619,8188000,8110080
0.047800,171380753.138075,8072000,8192000
0.046600,175793991.416309,8096000,8192000
0.045346,182461959.158470,8120000,8273920
0.045818,177006416.692130,8084000,8110080
0.045720,179177602.799650,8160000,8192000
0.046509,179660710.830162,8104000,8355840
0.044970,187630865.021125,8112000,8437760
0.048000,162133333.333333,8156000,7782400
0.046757,180459824.197446,8100000,8437760
0.046840,174893253.629377,8080000,8192000
0.043269,196900321.246158,8064000,8519680
