rtt,thput,total_time,total_data
0.632666,1553805.641523,6479999,983040
0.258181,3490264.581824,2248000,901120
0.362800,2257993.384785,3548000,819200
0.341454,2639067.048563,3080000,901120
0.096666,5084724.722239,1172000,491520
0.598909,1504602.535611,5707999,901120
0.570499,1148748.726992,5031999,655360
0.785454,1147260.055968,7419999,901120
0.008666,56718209.093007,416000,491520
0.240000,3413333.333333,1984000,819200
0.260000,2835692.307692,2368000,737280
0.095428,6009137.779268,1208000,573440
0.383200,2137787.056367,3116000,819200
0.434000,1887557.603687,3592000,819200
0.202000,2433267.326733,1244000,491520
0.048666,10099864.381704,640000,491520
0.513333,1436260.672897,3836000,737280
0.113500,5774096.916300,1116000,655360
0.671111,1098596.208377,5143999,737280
0.685999,1194170.836984,5791999,819200
0.082285,6968949.383241,700000,573440
0.227333,2162114.607206,1360000,491520
0.936571,612276.058088,6527999,573440
0.989333,745229.361600,7555999,737280
0.264000,2482424.242424,1692000,655360
0.204000,2409411.764706,1792000,491520
0.141142,4062858.681328,1136000,573440
0.312000,1575384.615385,1944000,491520
0.335555,2197195.690721,2352000,737280
0.304000,2425263.157895,2164000,737280
0.372888,1977215.678702,2612000,737280
0.116666,4213052.646015,1152000,491520
0.008000,40960000.000000,232000,327680
0.114285,5017631.360196,1024000,573440
0.494000,1326639.676113,3160000,655360
0.531999,1385867.266668,3879999,737280
0.310000,2114064.516129,1916000,655360
0.364000,1575384.615385,2344000,573440
0.132800,3084337.349398,1060000,409600
0.683499,958830.956592,4211999,655360
0.790999,828521.907107,5131999,655360
1.000666,491192.865552,5819999,491520
0.988399,828815.083787,8215999,819200
0.179200,2285714.285714,876000,409600
0.799333,614912.683450,3879999,491520
1.120571,511739.104439,6495999,573440
0.198000,827474.747475,620000,163840
0.427333,1150203.705307,1792000,491520
0.583333,842606.195775,2488000,491520
0.743333,661237.964681,3404000,491520
0.291200,1406593.406593,928000,409600
0.965599,424192.651401,3919999,409600
0.952666,515941.578685,4503999,491520
1.029999,318136.231200,4203999,327680
0.380000,431157.894737,792000,163840
1.543999,159171.087546,4355999,245760
0.309600,1322997.416021,952000,409600
1.061333,463115.723340,5151999,491520
0.234666,1047275.702488,808000,245760
1.738999,188430.240615,6623999,327680
1.223333,401787.575419,5839999,491520
0.276000,1187246.376812,820000,327680
0.084000,1950476.190476,204000,163840
2.742666,89606.244435,7451999,245760
0.564000,580992.907801,1900000,327680
0.526400,778115.501520,1752000,409600
0.324000,505679.012346,820000,163840
0.432000,568888.888889,836000,245760
0.604000,135629.139073,836000,81920
0.641600,638403.990025,2216000,409600
0.718400,570155.902004,2516000,409600
0.272000,903529.411765,712000,245760
0.860000,381023.255814,2964000,327680
2.571999,95552.136684,7599999,245760
