rtt,thput,total_time,total_data
0.034285,16725681.785037,684000,573440
0.006000,81920000.000000,396000,491520
0.078285,7325030.337868,896000,573440
0.126285,4540840.163123,1220000,573440
0.162857,3521125.895724,1480000,573440
0.027200,15058823.529412,480000,409600
0.240000,2389333.333333,2008000,573440
0.287428,1995073.548854,2336000,573440
0.385142,1488905.390739,3008000,573440
0.828571,692083.116595,6020000,573440
0.048000,10240000.000000,616000,491520
0.067200,6095238.095238,668000,409600
0.068000,6023529.411765,660000,409600
0.355200,1153153.153153,2036000,409600
0.517333,950103.704964,3404000,491520
0.697333,704856.933488,4444000,491520
0.990000,496484.848485,6240000,491520
0.051200,8000000.000000,624000,409600
0.236000,1735593.220339,1388000,409600
0.664800,616125.150421,3460000,409600
1.247200,328415.651058,6368000,409600
0.092000,3561739.130435,480000,327680
0.238000,1376806.722689,1036000,327680
0.089000,3681797.752809,516000,327680
0.315000,1040253.968254,1380000,327680
1.625000,201649.230769,6552000,327680
0.332000,740240.963855,1008000,245760
0.820000,299707.317073,2420000,245760
1.150666,213580.656767,3472000,245760
1.556000,157943.444730,4392000,245760
0.106000,1545660.377358,236000,163840
3.816000,42935.010482,7588000,163840
2.222000,73735.373537,4584000,163840
2.358666,104194.489597,7016000,245760
2.281333,107726.491485,6740000,245760
0.124000,1321290.322581,248000,163840
2.473333,99363.894793,7300000,245760
0.020000,4096000.000000,20000,81920
0.134000,1222686.567164,424000,163840
0.172000,952558.139535,440000,163840
0.128000,640000.000000,128000,81920
0.222000,738018.018018,436000,163840
0.316000,518481.012658,632000,163840
0.900000,91022.222222,980000,81920
0.364000,450109.890110,732000,163840
0.144000,568888.888889,144000,81920
0.708000,231412.429379,1316000,163840
0.742000,220808.625337,1412000,163840
1.840000,89043.478261,3588000,163840
1.122000,146024.955437,2080000,163840
1.468000,111607.629428,2768000,163840
2.022000,81028.684471,3748000,163840
0.536000,152835.820896,536000,81920
2.922000,56071.184120,5168000,163840
2.754000,59491.648511,4936000,163840
2.542000,64453.186467,4724000,163840
4.364000,37543.538038,7804000,163840
0.292000,280547.945205,292000,81920
2.452000,33409.461664,2452000,81920
2.896000,28287.292818,2896000,81920
1.804000,45410.199557,1804000,81920
2.180000,37577.981651,2180000,81920
3.900000,21005.128205,3900000,81920
5.364000,15272.184937,5364000,81920
4.758000,34434.636402,8108000,163840
8.384000,9770.992366,8384000,81920
0.361666,2718087.959609,4440000,983040
0.068727,13111586.421639,880000,901120
0.200727,4489281.461886,2176000,901120
0.088000,9309090.909091,812000,819200
0.370000,2214054.054054,3624000,819200
0.807200,1014866.204163,7976000,819200
0.102666,7181345.333411,820000,737280
0.209500,3128210.023866,1728000,655360
0.249714,2296387.066804,1812000,573440
0.205333,2393770.119757,1400000,491520
0.455000,1440351.648352,3744000,655360
0.040000,6144000.000000,240000,245760
0.608000,1212631.578947,5332000,737280
0.094285,6081985.469587,656000,573440
0.083333,5898263.593054,688000,491520
0.095500,6862408.376963,732000,655360
0.096000,4266666.666667,660000,409600
0.065000,5041230.769231,604000,327680
0.089333,5502110.082500,664000,491520
0.085600,4785046.728972,668000,409600
0.808571,709201.789330,5512000,573440
1.128800,362863.217576,5816000,409600
0.125333,3921712.557746,512000,491520
1.588000,206347.607053,6516000,327680
0.106285,5395305.075975,580000,573440
0.112000,2194285.714286,584000,245760
0.117142,4895255.331137,584000,573440
0.114400,3580419.580420,600000,409600
0.120000,2730666.666667,692000,327680
0.115333,4261746.421232,588000,491520
0.148000,3321081.081081,832000,491520
0.204000,1204705.882353,892000,245760
0.220000,1489454.545455,956000,327680
0.206666,2378330.252678,1032000,491520
0.129333,1900211.083018,496000,245760
0.253714,2260182.725431,1404000,573440
