rtt,thput,total_time,payload_size
0.032400,25283950.617284,72000,819200
0.040000,20480000.000000,68000,819200
0.040000,20480000.000000,72000,819200
0.027600,29681159.420290,60000,819200
0.024800,33032258.064516,56000,819200
0.027200,30117647.058824,56000,819200
0.030800,26597402.597403,56000,819200
0.026800,30567164.179104,56000,819200
0.023600,34711864.406780,56000,819200
0.058000,14124137.931034,100000,819200
0.038000,21557894.736842,60000,819200
0.044400,18450450.450450,52000,819200
0.042000,19504761.904762,48000,819200
0.040800,20078431.372549,44000,819200
0.049600,16516129.032258,96000,819200
0.048000,17066666.666667,88000,819200
0.041600,19692307.692308,44000,819200
0.042000,19504761.904762,52000,819200
0.040800,20078431.372549,72000,819200
0.100800,8126984.126984,168000,819200
0.068400,11976608.187135,80000,819200
0.068400,11976608.187135,76000,819200
0.052000,15753846.153846,92000,819200
0.054800,14948905.109489,60000,819200
0.066000,12412121.212121,80000,819200
0.054000,15170370.370370,60000,819200
0.069600,11770114.942529,112000,819200
0.076000,10778947.368421,108000,819200
0.055200,14840579.710145,88000,819200
0.062000,13212903.225806,88000,819200
0.038400,21333333.333333,60000,819200
0.046800,17504273.504274,56000,819200
0.046000,17808695.652174,52000,819200
0.062800,13044585.987261,92000,819200
0.034400,23813953.488372,36000,819200
0.054400,15058823.529412,88000,819200
0.030400,26947368.421053,32000,819200
0.077600,10556701.030928,92000,819200
0.071200,11505617.977528,88000,819200
0.027600,29681159.420290,52000,819200
