n_pkt,thput
5,2560000
5,1422222
5,984615
5,1706666
25,2126245
25,1542168
25,1409691
25,1584158
50,1910447
50,1328489
50,1297516
50,1293582
100,1345244
100,1517037
100,1166154
100,1168416
200,1112710
200,1047248
200,1009637
200,989539
400,749171
400,774638
400,746964
400,741360
800,445068
800,434308
800,435135
800,433847
5,1706666
5,1163636
5,1113043
5,1347368
25,1290322
25,1993769
25,1325051
25,1221374
50,1711229
50,1295546
50,1292276
50,1298833
100,1204139
100,1300482
100,1158240
100,1183951
200,747322
200,801957
200,775772
200,736809
400,759946
400,743261
400,745564
400,738786
800,465891
800,472700
800,465454
800,467773
5,4266666
5,6400000
5,6400000
5,2560000
25,1282565
25,1163636
25,1772853
25,1086587
50,1840402
50,2169491
100,1159945
100,1243171
100,1207547
100,1166287
200,747118
200,718684
200,714410
200,713079
400,718836
400,742405
400,711809
400,709153
800,463359
800,461563
800,460269
800,456222
5,2133333
5,1706666
5,1969230
5,2844444
25,1406593
25,1182994
25,1161524
25,1172161
50,1433370
50,1295546
50,1243926
50,1240310
100,1330561
100,1204564
100,1156147
100,1141328
200,1120074
200,1048857
200,1018170
200,984426
400,710278
400,674432
400,685617
400,684709
800,475753
800,483198
800,472713
800,466603
5,4266666
5,2844444
5,6400000
5,2327272
25,1910447
25,966767
25,974124
25,898876
50,1364605
50,1208687
50,1271102
50,1219047
100,1582689
100,1277285
100,1309462
100,1169216
200,728734
200,748989
200,716221
200,705951
400,789765
400,742839
400,758543
400,747250
800,792412
800,811147
800,807486
