rtt,thput,total_time,total_data
0.005961,1429236705.250797,7952000,8519680
0.006730,1265925705.794948,7952000,8519680
0.006884,1237606042.998257,7952000,8519680
0.006807,1251605700.014691,7984000,8519680
0.007192,1184605116.796441,7948000,8519680
0.007769,1096625048.268760,7912000,8519680
0.006346,1342527576.426095,7992000,8519680
0.006000,1419946666.666667,7948000,8519680
0.007461,1141895188.312559,7972000,8519680
0.006500,1310720000.000000,7968000,8519680
0.006884,1237606042.998257,7976000,8519680
0.006769,1258631998.818141,7956000,8519680
0.006153,1384638387.778320,7948000,8519680
0.006730,1265925705.794948,7996000,8519680
0.005500,1549032727.272727,7952000,8519680
0.005153,1653343683.291287,7964000,8519680
0.005692,1496781447.645819,8008000,8519680
0.005230,1629001912.045889,7940000,8519680
0.005115,1665626588.465298,7956000,8519680
0.005307,1605366497.079329,7964000,8519680
0.008461,1006935350.431391,7972000,8519680
0.006230,1367524879.614767,7928000,8519680
0.008153,1044974855.881271,8040000,8519680
0.005538,1538403755.868545,7920000,8519680
0.007000,1217097142.857143,7932000,8519680
0.007846,1085862860.056079,8012000,8519680
0.006923,1230634118.156868,7944000,8519680
0.005115,1665626588.465298,7972000,8519680
0.005076,1678423955.870764,7960000,8519680
0.004730,1801200845.665962,7980000,8519680
0.005423,1571027106.767472,7932000,8519680
0.004846,1758085018.572018,7932000,8519680
0.005923,1438406213.067702,7920000,8519680
0.005192,1640924499.229584,7964000,8519680
0.004769,1786470958.272175,7976000,8519680
0.004730,1801200845.665962,7964000,8519680
0.005307,1605366497.079329,7956000,8519680
0.006000,1419946666.666667,7948000,8519680
0.006423,1326433130.935700,7956000,8519680
0.005538,1538403755.868545,7960000,8519680
0.005807,1467139659.032202,7980000,8519680
0.005807,1467139659.032202,7912000,8519680
0.005807,1467139659.032202,7960000,8519680
0.005307,1605366497.079329,7976000,8519680
0.005269,1616944391.725185,7972000,8519680
0.004461,1909813943.062094,7968000,8519680
0.005423,1571027106.767472,7924000,8519680
0.006115,1393242845.461979,7988000,8519680
0.006038,1411010268.300762,7968000,8519680
0.005576,1527919655.667145,7940000,8519680
0.005269,1616944391.725185,7952000,8519680
0.007000,1217097142.857143,7940000,8519680
0.006115,1393242845.461979,7960000,8519680
0.006423,1326433130.935700,7964000,8519680
0.006538,1303101866.014071,7960000,8519680
0.005653,1507107730.408633,7968000,8519680
0.006307,1350829237.355319,7996000,8519680
0.004423,1926222021.252544,7984000,8519680
0.005423,1571027106.767472,7924000,8519680
0.005230,1629001912.045889,7956000,8519680
0.007038,1210525717.533390,7907999,8519680
0.010192,835918367.346939,7931999,8519680
0.010384,820462249.614792,7947999,8519680
0.008846,963111010.626272,7920000,8519680
0.008499,1002433227.438522,7967999,8519680
0.006576,1295571776.155718,7932000,8519680
0.006038,1411010268.300762,7975999,8519680
0.006500,1310720000.000000,7948000,8519680
0.006230,1367524879.614767,7932000,8519680
0.006000,1419946666.666667,7964000,8519680
0.006884,1237606042.998257,7936000,8519680
0.008846,963111010.626272,7991999,8519680
0.009076,938704275.011018,7924000,8519680
0.009230,923042253.521127,7932000,8519680
0.008115,1049868145.409735,7944000,8519680
0.009538,893235479.136087,7956000,8519680
0.006192,1375917312.661499,7916000,8519680
0.007961,1070177113.427961,7944000,8519680
0.008346,1020809968.847352,7948000,8519680
0.009153,930807385.556648,7952000,8519680
0.007730,1102157826.649418,7972000,8519680
0.006346,1342527576.426095,7948000,8519680
0.005423,1571027106.767472,7948000,8519680
0.008153,1044974855.881271,7972000,8519680
0.005846,1457352035.579884,7932000,8519680
0.005000,1703936000.000000,7936000,8519680
0.005076,1678423955.870764,7944000,8519680
0.005153,1653343683.291287,7976000,8519680
0.005038,1691083763.398174,7960000,8519680
0.008500,1002315294.117647,7944000,8519680
0.005038,1691083763.398174,7976000,8519680
0.008692,980174873.446848,7944000,8519680
0.005961,1429236705.250797,7956000,8519680
0.008384,1016183206.106870,7924000,8519680
0.007500,1135957333.333333,7988000,8519680
0.008461,1006935350.431391,7944000,8519680
0.009230,923042253.521127,7948000,8519680
0.008153,1044974855.881271,7948000,8519680
0.008615,988935577.481138,7960000,8519680
0.009384,907894288.150043,7944000,8519680
0.006653,1280577183.225612,7948000,8519680
0.006923,1230634118.156868,7976000,8519680
0.008038,1059925354.565812,7984000,8519680
0.007923,1075309857.377256,7976000,8519680
0.004884,1744406224.406224,7976000,8519680
0.005076,1678423955.870764,7952000,8519680
0.005653,1507107730.408633,7928000,8519680
0.007846,1085862860.056079,7988000,8519680
0.005538,1538403755.868545,7972000,8519680
0.004884,1744406224.406224,7980000,8519680
0.004884,1744406224.406224,7956000,8519680
0.007576,1124561774.023231,7944000,8519680
0.007384,1153802816.901408,7944000,8519680
0.009538,893235479.136087,7948000,8519680
0.008423,1011478095.690372,7944000,8519680
0.005423,1571027106.767472,7964000,8519680
0.009076,938704275.011018,7940000,8519680
0.007692,1107602704.108164,7972000,8519680
0.005461,1560095220.655558,7980000,8519680
0.006576,1295571776.155718,8012000,8519680
