rtt,thput,total_time,total_data
0.003923,2171725720.112159,7944000,8519680
0.003423,2488951212.386796,7932000,8519680
0.003728,2263347639.484979,7944000,8437760
0.003692,2307605633.802817,7952000,8519680
0.003884,2193532440.782698,7944000,8519680
0.002961,2877298210.064167,7972000,8519680
0.003650,2311715068.493151,7916000,8437760
0.004404,1841525885.558583,7936000,8110080
0.004000,2088960000.000000,7952000,8355840
0.004412,1801051677.243880,7940000,7946240
0.004078,2049004413.928396,7956000,8355840
0.003720,2202150537.634408,7956000,8192000
0.003405,2429932452.276064,7976000,8273920
0.003339,2527032045.522612,7952000,8437760
0.003247,2548173698.798892,7960000,8273920
0.003176,2630931989.924433,7956000,8355840
0.003230,2637671826.625387,7968000,8519680
0.003730,2284096514.745308,7952000,8519680
0.003137,2663640420.784189,7988000,8355840
0.003495,2414237482.117311,7952000,8437760
0.003384,2517635933.806147,7940000,8519680
0.003730,2284096514.745308,7940000,8519680
0.003490,2394223495.702006,7948000,8355840
0.003538,2408049745.618994,7936000,8519680
0.003372,2478007117.437722,7940000,8355840
0.003230,2637671826.625387,7952000,8519680
0.003115,2735049759.229534,7964000,8519680
0.003184,2650050251.256281,7964000,8437760
0.003411,2449674582.233949,7944000,8355840
0.003333,2507002700.270027,7960000,8355840
0.003576,2382460850.111857,7940000,8519680
0.003115,2735049759.229534,7992000,8519680
0.003346,2546228332.337119,7952000,8519680
0.003307,2576256425.763532,7956000,8519680
0.003572,2362194848.824188,7940000,8437760
0.003572,2362194848.824188,7944000,8437760
0.003378,2497856719.952635,7952000,8437760
0.003269,2606203732.028143,7972000,8519680
0.003076,2769726918.075422,7980000,8519680
0.003307,2576256425.763532,7964000,8519680
