rtt,thput,total_time,total_data
0.004076,2090206084.396467,7980000,8519680
0.005038,1691083763.398174,7944000,8519680
0.004349,1940160956.541734,7940000,8437760
0.004307,1978100766.194567,7932000,8519680
0.004346,1960349746.893695,7968000,8519680
0.005914,1302076428.812986,7904000,7700480
0.004504,1873392539.964476,7944000,8437760
0.004576,1861818181.818182,7960000,8519680
0.004230,2014108747.044917,7944000,8519680
0.004153,2051451962.436793,7976000,8519680
0.004627,1805887183.920467,7960000,8355840
0.005120,1600000000.000000,7928000,8192000
0.005188,1594818812.644564,7932000,8273920
0.004666,1790792970.424346,7948000,8355840
0.004431,1885768449.559919,7952000,8355840
0.005212,1556039907.904835,7944000,8110080
0.005419,1405897767.115704,7924000,7618560
0.004547,1711546074.334726,7924000,7782400
0.003922,2151392146.863845,7988000,8437760
0.004978,1546902370.429892,7904000,7700480
0.004554,1816846728.151076,7944000,8273920
0.005782,1303465928.744379,7944000,7536640
0.005649,1406663126.217030,7952000,7946240
0.004948,1605949878.738884,7948000,7946240
0.005058,1652004744.958482,7964000,8355840
0.005000,1572864000.000000,7936000,7864320
0.005058,1652004744.958482,7980000,8355840
0.006000,1283413333.333333,7968000,7700480
0.004958,1586187979.023800,7928000,7864320
0.005957,1292677522.242740,7964000,7700480
0.004857,1652905085.443689,7952000,8028160
0.004280,1914018691.588785,7936000,8192000
0.005106,1508123775.949863,7968000,7700480
0.004392,1902513661.202186,7964000,8355840
0.004412,1801051677.243880,7936000,7946240
0.003960,2110060606.060606,7968000,8355840
0.004310,1957716937.354989,7944000,8437760
0.004730,1801200845.665962,7952000,8519680
0.005307,1605366497.079329,7968000,8519680
0.004730,1801200845.665962,7936000,8519680
0.004349,1940160956.541734,7924000,8437760
0.004080,1987764705.882353,7924000,8110080
0.004269,1995708596.861091,7940000,8519680
0.003538,2408049745.618994,7964000,8519680
0.003884,2193532440.782698,7968000,8519680
0.004116,2049990281.827017,7960000,8437760
0.003803,2197170654.746253,7948000,8355840
0.002990,2821993311.036789,7972000,8437760
0.003844,2195046826.222684,7952000,8437760
0.003339,2527032045.522612,7948000,8437760
0.003423,2488951212.386796,7960000,8519680
0.004000,2048000000.000000,7940000,8192000
0.004076,2090206084.396467,7936000,8519680
0.003538,2408049745.618994,7952000,8519680
0.003961,2130209543.044686,7952000,8437760
0.003294,2536684881.602914,7980000,8355840
0.004155,2030748495.788207,7932000,8437760
0.003877,2070714469.950993,7948000,8028160
0.003730,2284096514.745308,7944000,8519680
0.003230,2637671826.625387,7988000,8519680
0.003692,2307605633.802817,7948000,8519680
0.004000,2048000000.000000,7928000,8192000
0.004715,1650562036.055143,7908000,7782400
0.004164,1908318924.111431,7916000,7946240
0.003722,2222976894.142934,7980000,8273920
0.004204,1909647954.329210,7952000,8028160
0.003600,2275555555.555556,7948000,8192000
0.003838,2113100573.215216,7864000,8110080
0.003587,2215288541.957067,7964000,7946240
0.003262,2586683016.554261,7988000,8437760
0.003551,2260816671.360180,7972000,8028160
0.003603,2296397446.572301,7964000,8273920
0.004038,2109876176.324913,7960000,8519680
0.003880,2111340206.185567,7960000,8192000
0.003877,2070714469.950993,7980000,8028160
0.004039,2048507056.202030,7952000,8273920
0.003877,2070714469.950993,7964000,8028160
0.003469,2314257711.155953,7948000,8028160
0.003287,2517164587.770003,7976000,8273920
0.004000,2129920000.000000,7976000,8519680
