rtt,thput,total_time,total_data
0.149078,48906478.487772,8568000,7290880
0.172564,40351405.855219,8488000,6963200
0.131227,54935036.234921,8696000,7208960
0.194680,39554551.058147,8756000,7700480
0.158418,44471714.072896,8756000,7045120
0.264884,32163815.103970,8916000,8519680
0.157272,45837529.884531,8820000,7208960
0.239291,32865088.950274,8848000,7864320
0.236133,31223081.907230,8720000,7372800
0.266653,31950437.459920,8888000,8519680
0.274941,30391393.062512,8880000,8355840
0.279168,29637780.834480,8888000,8273920
0.222666,32007760.502277,8704000,7127040
0.254515,31221106.810993,8892000,7946240
0.193674,36376178.526803,8848000,7045120
0.214318,33636745.397027,8728000,7208960
0.156347,48204570.602570,8836000,7536640
0.278252,30324166.582810,8920000,8437760
0.293346,27367545.492354,8792000,8028160
0.113317,59280072.716362,8748000,6717440
0.288727,28089094.542596,8872000,8110080
0.239655,31789697.690430,8752000,7618560
0.283445,29190566.071019,8928000,8273920
0.240703,30970615.239528,8736000,7454720
0.219612,34691000.491776,8800000,7618560
0.262778,29615873.474948,8776000,7782400
0.292666,26871314.057663,8816000,7864320
0.237563,30000631.411457,8776000,7127040
0.254920,32135571.944139,8808000,8192000
0.282538,30154103.164884,8828000,8519680
0.220082,36105815.105279,8792000,7946240
0.184863,38996229.640328,8788000,7208960
0.139858,49787641.750919,8788000,6963200
0.272857,29422591.320728,8816000,8028160
0.231909,31085296.387807,8792000,7208960
0.250905,31017317.311333,8776000,7782400
0.215053,35426429.763826,8776000,7618560
0.191244,38551797.703457,8772000,7372800
0.264041,30094720.138160,8780000,7946240
0.145760,42151481.888035,8768000,6144000
0.205333,33512781.676594,8736000,6881280
0.217906,32331005.112296,8772000,7045120
0.218139,32296471.515868,8760000,7045120
0.224344,33959276.824876,8740000,7618560
0.205409,35095638.457906,8776000,7208960
0.240000,30378666.666667,8764000,7290880
0.212133,34755554.298483,8740000,7372800
0.256433,26515152.106008,8776000,6799360
0.212550,30833215.713950,8772000,6553600
0.207252,35969351.321097,8752000,7454720
0.241829,31842665.685257,8760000,7700480
0.162150,40416897.934012,8752000,6553600
0.228907,34713835.749890,8732000,7946240
0.214888,34309966.121887,8740000,7372800
0.198217,38022167.624371,8728000,7536640
0.307000,26684039.087948,8760000,8192000
0.284577,27922987.451551,8828000,7946240
0.274610,28339827.391574,8752000,7782400
0.302163,26568971.052048,8776000,8028160
0.302099,27388107.871923,8800000,8273920
0.006884,1237606042.998257,7956000,8519680
0.008582,983192728.967607,7920000,8437760
0.008543,987681142.455812,7976000,8437760
0.009359,901566406.667379,7976000,8437760
0.007333,1139484522.023728,7932000,8355840
0.007960,1039437185.929648,7924000,8273920
0.006368,1325025125.628141,7956000,8437760
0.006990,1207118741.058655,7956000,8437760
0.007883,1070374223.011544,7920000,8437760
0.009230,923042253.521127,7928000,8519680
0.008504,992210724.365005,7952000,8437760
0.008509,982000235.045246,7956000,8355840
0.007265,1105046111.493462,7924000,8028160
0.008240,994174757.281553,7952000,8192000
0.005520,1484057971.014493,7952000,8192000
0.006784,1231698113.207547,7940000,8355840
0.008329,954044903.349742,7904000,7946240
0.007490,1115599465.954606,7956000,8355840
0.006415,1289777084.957132,7968000,8273920
0.008274,1009891225.525743,7920000,8355840
0.009898,819365528.389574,7944000,8110080
0.007020,1143612535.612535,7956000,8028160
0.007591,1057589250.428139,7968000,8028160
0.009623,859806713.083238,7960000,8273920
0.008514,971801738.313366,7976000,8273920
0.007568,1104101479.915433,7964000,8355840
0.009050,896141436.464088,7964000,8110080
0.007591,1057589250.428139,7908000,8028160
0.009020,890039911.308204,7968000,8028160
0.006666,1216633663.366337,7960000,8110080
0.007061,1136972100.269084,7916000,8028160
0.005858,1384445203.141004,7976000,8110080
0.008435,980903378.778898,7956000,8273920
0.006163,1302638325.490832,7948000,8028160
0.007797,1040153905.348211,7940000,8110080
0.006200,1321290322.580645,7960000,8192000
0.007411,1127491566.590204,7956000,8355840
0.008086,932060351.224338,7940000,7536640
0.008158,1014209365.040451,7936000,8273920
0.008079,1024126748.359946,7912000,8273920
0.007673,1046286980.320605,7948000,8028160
0.007877,1019190046.972198,7948000,8028160
0.008329,954044903.349742,7936000,7946240
0.009600,853333333.333333,7960000,8192000
0.007215,1158120582.120582,7920000,8355840
0.010291,764193955.883782,7956000,7864320
0.010085,763557759.048091,7968000,7700480
0.009980,829050100.200401,7956000,8273920
0.007485,1105400133.600534,7956000,8273920
0.008285,968999396.499698,7928000,8028160
0.008294,938316855.558235,7948000,7782400
0.005882,1420578034.682081,7976000,8355840
0.007960,1039437185.929648,7944000,8273920
0.008968,867796610.169492,7940000,7782400
0.006694,1162593367.194503,7952000,7782400
0.006891,1200684951.385865,7988000,8273920
0.008313,1005153374.233129,7968000,8355840
0.007372,1133456321.215410,7964000,8355840
0.010000,851968000.000000,7952000,8519680
0.008571,869760821.374402,7976000,7454720
