rtt,thput,total_time,total_data
0.132000,11791515.151515,2736000,1556480
0.078117,17827617.548037,1904000,1392640
0.206000,5567378.640777,3236000,1146880
0.186444,7908862.714810,3228000,1474560
0.368307,2891500.840332,4556000,1064960
0.431750,3035830.920672,6488000,1310720
0.504571,2272980.413064,6644000,1146880
0.569428,2014091.333759,7576000,1146880
0.124000,11230967.741935,2368000,1392640
0.212400,3856873.822976,2476000,819200
0.158666,7744570.355338,2592000,1228800
0.213666,4600825.587599,2752000,983040
0.219294,6350561.346868,3572000,1392640
0.286000,4582937.062937,4244000,1310720
0.384000,3413333.333333,5588000,1310720
0.202400,4047430.830040,2336000,819200
0.163428,7017646.914849,2420000,1146880
0.195428,5868555.171214,2708000,1146880
0.187666,5238242.409387,2540000,983040
0.370285,1548644.962664,2752000,573440
0.044000,9309090.909091,984000,409600
0.395200,2072874.493927,3800000,819200
0.537777,1370977.189430,4660000,737280
0.314250,4170946.698488,4540000,1310720
0.431666,2277316.258403,4808000,983040
0.425846,2500810.152027,5076000,1064960
0.748000,876149.732620,5672000,655360
0.599666,1639312.550653,6688000,983040
0.488727,1843810.552722,4940000,901120
0.527666,1862996.668347,5824000,983040
1.097142,522667.075000,7632000,573440
0.661538,1609824.378947,8164000,1064960
0.127733,9620066.858212,2168000,1228800
0.168363,5352244.851897,2176000,901120
0.160333,6131239.358086,2216000,983040
0.135428,8468558.939067,2168000,1146880
0.175666,5596074.368404,2268000,983040
0.193200,4240165.631470,2232000,819200
0.201666,4874594.626759,2488000,983040
0.186333,5275716.056737,2360000,983040
0.051666,19026826.152596,1124000,983040
0.244800,3346405.228758,2504000,819200
0.223600,3663685.152057,2772000,819200
0.315000,2080507.936508,2716000,655360
0.392500,1669707.006369,3100000,655360
0.273714,4190067.004245,3512000,1146880
0.438133,2804627.818493,5916000,1228800
0.572307,1860819.455292,6792000,1064960
0.382400,3213389.121339,5152000,1228800
0.916000,536593.886463,6076000,491520
0.605666,1623072.782689,6968000,983040
0.156000,6301538.461538,2128000,983040
0.148923,7151078.073904,2128000,1064960
0.136285,8415306.159886,2080000,1146880
0.206000,3976699.029126,2200000,819200
0.198545,4538618.449218,2300000,901120
0.229090,3933475.926492,2460000,901120
0.105714,5424447.093100,1380000,573440
0.244000,4028852.459016,2764000,983040
0.303076,3513838.113213,3548000,1064960
0.342222,2154391.009345,3116000,737280
0.058545,15391920.744726,1108000,901120
0.395500,1657041.719343,3892000,655360
0.450222,1637592.121220,3772000,737280
0.143200,5720670.391061,1760000,819200
0.364333,2698190.940705,4124000,983040
0.419714,2732527.387697,5208000,1146880
0.848888,868524.469659,7068000,737280
0.192888,3822321.761851,1984000,737280
0.606000,1892541.254125,7664000,1146880
0.165538,6433326.486970,2144000,1064960
0.246500,2658661.257606,2160000,655360
0.166666,5898263.593054,2084000,983040
0.246666,2988981.051300,2240000,737280
0.272888,2701767.758201,2412000,737280
0.272307,3910879.999412,3172000,1064960
0.736666,1334444.646556,8140000,983040
0.819636,1099414.862207,8256000,901120
0.770333,1276123.442719,8456000,983040
0.867636,1038592.220701,8840000,901120
0.184235,7559041.441637,2528000,1392640
0.227142,5049176.286200,2596000,1146880
0.292235,4765479.836433,4080000,1392640
0.480285,2387915.508500,5692000,1146880
0.531000,2468399.246704,7204000,1310720
0.176500,7426175.637394,2292000,1310720
0.186933,6573478.198071,2332000,1228800
0.225846,4715425.555467,2408000,1064960
0.217866,5640164.137589,2532000,1228800
0.370750,3535320.296696,4896000,1310720
0.547714,2093939.537788,6416000,1146880
0.740000,1328432.432432,7508000,983040
0.184800,6649350.649351,2180000,1228800
0.242153,4397880.678744,2388000,1064960
0.229333,5358147.322889,2576000,1228800
0.383076,2780022.763107,4060000,1064960
0.500571,1145571.757053,4172000,573440
0.460923,2310494.377586,4968000,1064960
0.482545,1867432.052969,4288000,901120
0.613600,1335071.707953,5848000,819200
0.484857,2365398.457690,5696000,1146880
0.280000,3218285.714286,2312000,901120
0.219428,5226680.277813,2256000,1146880
0.337600,2426540.284360,2524000,819200
0.126285,4540840.163123,1296000,573440
0.432000,1137777.777778,2548000,491520
0.420571,1363479.650285,2768000,573440
0.334800,2446833.930705,2668000,819200
0.247272,3644246.012488,2704000,901120
0.411200,1992217.898833,3208000,819200
0.421000,1556674.584323,3300000,655360
0.558181,1614386.731186,5028000,901120
0.666222,1106658.140980,5312000,737280
0.620000,1585548.387097,6088000,983040
0.596333,1648474.929276,5936000,983040
0.491636,1832900.763980,5168000,901120
0.653000,1505421.133231,6436000,983040
0.650285,1763657.473262,7536000,1146880
0.846181,1064925.825562,7732000,901120
0.738769,1441533.145002,7928000,1064960
0.244363,3687628.650819,2040000,901120
0.230333,4267907.768318,2076000,983040
0.292000,2524931.506849,2076000,737280
0.236666,4153701.841414,2120000,983040
0.224615,4741268.392583,2132000,1064960
0.314222,2346366.581589,2144000,737280
0.292400,2801641.586867,2152000,819200
0.212400,3856873.822976,2152000,819200
0.285454,3156795.841011,2252000,901120
0.345777,2132241.300029,2340000,737280
0.265666,3700285.320666,2324000,983040
0.240888,3060675.500648,2544000,737280
0.317500,2064125.984252,2364000,655360
0.298909,3014696.780626,2840000,901120
0.311666,3154145.784269,2764000,983040
0.310181,2905142.481325,2512000,901120
0.460000,1424695.652174,2928000,655360
0.109714,5226680.277813,1240000,573440
0.352000,2560000.000000,3340000,901120
0.515200,1590062.111801,4276000,819200
0.345538,3082034.392744,3436000,1064960
0.446666,1650629.329298,4400000,737280
0.309333,1588967.229491,1512000,491520
0.721666,1362181.396934,7084000,983040
0.665333,1477515.770298,6528000,983040
0.246909,3649603.700149,1976000,901120
0.334285,1715422.468851,2016000,573440
0.254909,3535065.454731,2024000,901120
0.256333,3835011.488962,2112000,983040
0.367272,2453549.412969,2956000,901120
0.328000,1748292.682927,2308000,573440
0.318000,2576100.628931,2188000,819200
0.651466,1886207.415276,8440000,1228800
0.559000,1172379.248658,3480000,655360
0.394666,2490815.018269,3576000,983040
0.604444,1219765.602769,4472000,737280
0.685333,1434397.584824,6640000,983040
0.984400,832182.039821,8264000,819200
0.677066,1814889.538095,8840000,1228800
0.940363,958268.243221,8752000,901120
