rtt,thput,total_time,total_data
0.082461,12914711.196808,1648000,1064960
0.096000,10240000.000000,1820000,983040
0.172000,5715348.837209,2688000,983040
0.083333,11796527.186109,1636000,983040
0.101777,7244072.825884,1596000,737280
0.088000,11170909.090909,1712000,983040
0.122666,6010467.448193,1772000,737280
0.142909,6305551.084956,2120000,901120
0.246181,3660396.212543,3244000,901120
0.038666,12711943.309367,868000,491520
0.378333,2598345.901626,4988000,983040
0.699272,1288654.486380,7884000,901120
0.075272,11971516.633011,1372000,901120
0.087636,10282532.292665,1516000,901120
0.100727,8946161.406574,1576000,901120
0.165333,2972909.219575,1680000,491520
0.172571,3322922.159575,1800000,573440
0.111272,8098353.584010,1768000,901120
0.028571,20070701.060516,596000,573440
0.181333,2710593.218002,1832000,491520
0.284400,2880450.070323,3304000,819200
0.436363,2065069.678227,5112000,901120
0.576400,1421235.253296,6128000,819200
0.090400,9061946.902655,1368000,819200
0.174666,2814056.542201,1596000,491520
0.034000,14456470.588235,640000,491520
0.132444,5566730.089698,1656000,737280
0.146666,5026931.940600,1744000,737280
0.266000,2463759.398496,2580000,655360
0.041333,11891708.804103,692000,491520
0.483333,1016938.632371,3368000,491520
0.408500,1604308.445532,3660000,655360
0.696571,823232.664007,5220000,573440
0.668444,1102979.456768,6292000,737280
0.031333,15686975.393355,564000,491520
1.022666,480626.128179,6508000,491520
0.964000,679834.024896,8032000,655360
0.128000,4480000.000000,1304000,573440
0.103500,6331980.676329,1268000,655360
0.126500,5180711.462451,1428000,655360
0.118000,5553898.305085,1388000,655360
0.262000,1876030.534351,1972000,491520
0.256444,2875013.648204,2632000,737280
0.039000,8402051.282051,600000,327680
0.041000,15984390.243902,624000,655360
0.482857,1187597.984496,3736000,573440
0.053600,7641791.044776,684000,409600
0.771200,531120.331950,4232000,409600
0.632000,1036962.025316,5352000,655360
0.092000,3561739.130435,820000,327680
0.722666,1020222.343379,6660000,737280
0.094500,6935026.455026,1108000,655360
0.034000,14456470.588235,488000,491520
0.114500,5723668.122271,1244000,655360
0.144000,3982222.222222,1368000,573440
0.151500,4325808.580858,1516000,655360
0.041000,7992195.121951,488000,327680
0.191428,2995591.031615,1660000,573440
0.261600,1565749.235474,1680000,409600
0.030000,10922666.666667,508000,327680
0.239428,2395041.515612,1984000,573440
0.034400,11906976.744186,520000,409600
0.594000,827474.747475,3828000,491520
0.018000,9102222.222222,244000,163840
0.516000,1270077.519380,4332000,655360
0.750857,763713.996140,5484000,573440
0.032666,15046837.690565,408000,491520
0.104000,3150769.230769,796000,327680
0.101000,3244356.435644,772000,327680
0.094857,6045310.309202,928000,573440
1.280000,320000.000000,6832000,409600
0.115428,4967945.385868,1084000,573440
0.040800,10039215.686275,344000,409600
0.173714,3301058.060951,1448000,573440
0.230000,2137043.478261,1648000,491520
0.045000,7281777.777778,416000,327680
0.188571,3040976.608280,1544000,573440
0.342857,1672534.030223,2592000,573440
0.514666,955027.143818,3280000,491520
0.070666,3477768.658195,496000,245760
0.037000,8856216.216216,264000,327680
0.536000,1069850.746269,3912000,573440
1.049000,312373.689228,4428000,327680
0.914000,537768.052516,5616000,491520
0.033333,7372873.728737,332000,245760
1.186000,414435.075885,7240000,491520
0.033600,12190476.190476,340000,409600
1.153333,426173.533576,7000000,491520
1.145142,500758.857853,8108000,573440
0.112666,4362629.364671,904000,491520
0.162000,3034074.074074,1220000,491520
0.178666,2751055.041250,1268000,491520
0.236666,2076850.920707,1616000,491520
0.361600,1132743.362832,2040000,409600
0.290666,1691013.052782,1928000,491520
0.046000,7123478.260870,364000,327680
0.409333,1200782.736794,2640000,491520
1.380666,356002.103333,8352000,491520
1.083500,604854.637748,8628000,655360
2.224000,147338.129496,8960000,327680
0.048533,25318855.211918,1396000,1228800
0.309066,3975849.818485,5271999,1228800
0.039692,26830595.586012,1152000,1064960
0.035333,27822149.265559,940000,983040
0.051142,22425403.777717,1340000,1146880
0.124000,7267096.774194,2012000,901120
0.183555,4016670.752635,2468000,737280
0.031636,28484005.563282,952000,901120
0.172615,6169568.114011,2924000,1064960
0.242857,4722449.836735,4007999,1146880
0.396333,2480338.503228,5391999,983040
0.034666,28357468.412854,1024000,983040
0.047600,17210084.033613,1204000,819200
0.025714,22300692.229914,864000,573440
0.067111,10985978.453607,1220000,737280
0.080333,12237063.224329,1532000,983040
0.274769,3875837.521700,4103999,1064960
0.409333,2401565.473588,5515999,983040
0.042000,15603809.523810,948000,655360
0.537714,2132881.048290,8107999,1146880
0.045333,16263648.997419,988000,737280
0.049714,11534778.935511,1020000,573440
0.051111,14425074.837119,1072000,737280
0.065454,13767225.837993,1232000,901120
0.090666,10842432.664946,1548000,983040
0.129818,6941410.282087,1952000,901120
0.202000,4866534.653465,2904000,983040
0.504571,1136490.206532,4203999,573440
0.036666,13405334.642448,816000,491520
0.041600,19692307.692308,844000,819200
0.042400,19320754.716981,848000,819200
0.076000,10778947.368421,1192000,819200
0.468363,1923977.769380,5559999,901120
0.047428,12090748.081302,736000,573440
0.064000,5120000.000000,784000,327680
0.032500,20164923.076923,780000,655360
0.039428,14543978.898245,800000,573440
0.049500,13239595.959596,816000,655360
0.059000,11107796.610169,884000,655360
0.056888,12960202.503164,868000,737280
0.070000,7021714.285714,984000,491520
0.035333,13911074.632780,636000,491520
0.120888,6098868.374032,1496000,737280
0.092500,7084972.972973,1180000,655360
0.042500,15420235.294118,640000,655360
0.290000,1694896.551724,2272000,491520
0.442666,1110363.118017,3123999,491520
0.035333,13911074.632780,644000,491520
0.040571,14134233.812329,648000,573440
0.274666,2684278.359899,2863999,737280
0.327999,2247811.731133,3259999,737280
0.781333,314539.383336,2991999,245760
0.037777,19516637.107235,648000,737280
0.522285,1097944.608786,4219999,573440
0.653999,1002081.042937,5719999,655360
0.792571,723518.776236,5895999,573440
0.044000,13032727.272727,648000,573440
0.036000,15928888.888889,656000,573440
0.054000,9102222.222222,688000,491520
0.044888,16424879.700588,728000,737280
0.048000,15360000.000000,776000,737280
0.052666,9332776.364258,792000,491520
0.044666,11004343.348408,560000,491520
0.068666,7158127.748813,872000,491520
0.132888,5548130.756727,1472000,737280
0.597230,1783165.614587,8287999,1064960
0.250500,2616207.584830,2304000,655360
0.230666,2130873.210616,1800000,491520
0.030000,5461333.333333,572000,163840
0.479999,1024002.133338,3339999,491520
0.039333,12496377.087941,568000,491520
0.490499,1336108.738244,4287999,655360
0.850285,674409.168690,6259999,573440
0.044000,11170909.090909,568000,491520
0.812571,705710.639440,6051999,573440
0.043000,15240930.232558,596000,655360
0.050400,8126984.126984,484000,409600
0.069333,7089264.852235,736000,491520
0.068500,9567299.270073,800000,655360
0.142400,2876404.494382,1076000,409600
0.195333,2516318.287233,1476000,491520
0.034666,7089367.103214,488000,245760
0.245333,2003480.982990,1824000,491520
0.393499,1665468.018978,3407999,655360
0.042000,7801904.761905,488000,327680
0.675999,727101.667310,4383999,491520
0.707333,694891.939157,4563999,491520
0.874285,655895.960699,6431999,573440
1.357599,301709.120293,7139999,409600
0.037000,8856216.216216,492000,327680
0.935428,613024.198549,6895999,573440
0.906857,632337.843784,6651999,573440
1.400799,292404.549118,7387999,409600
0.050857,11275537.290835,592000,573440
0.226857,2527759.778186,1840000,573440
0.035333,13911074.632780,412000,491520
0.287428,1995073.548854,2272000,573440
0.669999,1467226.070487,8483999,983040
0.913333,807241.170526,8659999,737280
1.205714,475602.008436,8927999,573440
