n_pkt,thput
10,2133333
10,800000
10,914285
10,1113043
10,1163636
10,984615
10,1422222
10,800000
10,1024000
10,731428
10,1024000
10,1066666
10,1066666
10,800000
10,1347368
10,1219047
10,948148
10,1066666
10,914285
10,1113043
10,1280000
10,1280000
10,556521
10,1422222
10,1828571
10,1066666
10,825806
10,1347368
10,1066666
10,465454
10,1706666
10,1706666
10,581818
10,1422222
10,1969230
10,1505882
10,1066666
10,1113043
10,1113043
10,1600000
10,441379
10,853333
10,595348
10,800000
10,189629
10,1219047
10,1347368
10,1706666
10,1347368
10,775757
10,556521
10,253465
10,914285
10,914285
10,1024000
10,691891
10,853333
10,1600000
10,1505882
10,595348
10,882758
10,800000
10,640000
10,341333
10,948148
10,371014
10,556521
10,1706666
10,1347368
10,640000
10,350684
10,308433
10,350684
10,1280000
10,581818
10,1219047
10,825806
10,1280000
10,984615
10,1505882
10,948148
10,752941
10,433898
10,1347368
10,711111
10,501960
10,1219047
10,853333
10,1280000
10,1600000
10,1113043
10,1347368
10,1066666
10,948148
10,731428
10,691891
10,1066666
10,1219047
10,1113043
10,948148
10,1163636
10,1347368
10,656410
10,711111
10,533333
10,711111
10,691891
10,1347368
10,656410
10,800000
10,355555
10,948148
10,281318
10,406349
10,433898
10,775757
10,1113043
10,1219047
10,1280000
10,1163636
10,1280000
10,800000
10,752941
10,800000
10,492307
10,640000
10,1219047
10,1113043
10,1347368
10,426666
10,1280000
10,853333
10,1163636
10,1422222
10,426666
10,1600000
10,1280000
10,465454
10,457142
10,673684
10,948148
10,1163636
10,1347368
10,426666
10,752941
10,711111
10,501960
10,914285
10,1219047
10,1163636
10,752941
10,1600000
10,984615
10,1347368
10,1219047
10,948148
10,1280000
10,853333
10,522448
10,1505882
10,1219047
10,1347368
10,1422222
10,1505882
10,1505882
10,1505882
10,711111
10,1422222
10,882758
10,1505882
10,984615
10,1600000
10,800000
10,853333
10,581818
10,544680
10,556521
10,1347368
10,752941
10,1219047
10,640000
10,1600000
10,691891
10,825806
10,1347368
10,1600000
10,595348
10,457142
10,609523
10,853333
10,656410
10,1163636
10,1066666
10,984615
10,882758
10,656410
10,1066666
10,984615
10,853333
10,1113043
10,1024000
10,1163636
10,1113043
10,984615
10,711111
10,800000
10,1113043
10,948148
10,853333
10,1163636
10,731428
10,948148
10,1706666
10,595348
10,948148
10,984615
10,948148
10,984615
10,1163636
10,1113043
10,948148
10,1024000
10,1113043
10,825806
10,825806
10,1163636
10,1066666
10,1024000
10,1163636
10,1113043
10,1066666
10,711111
10,731428
10,691891
10,800000
10,1113043
10,1219047
10,1422222
10,1828571
10,1113043
10,984615
10,752941
10,1280000
10,1219047
10,1505882
10,882758
10,1219047
10,984615
10,1219047
10,1024000

10,1219047
10,2327272
10,984615
10,1163636
10,1505882
10,984615
10,2133333
10,376470
10,533333
10,1505882
10,609523
10,853333
10,1024000
10,1505882
10,1347368
10,1600000
10,731428
10,948148
10,853333
10,711111
10,556521
10,1280000
10,691891
10,465454
10,1600000
10,1706666
10,2560000
10,474074
10,595348
10,1163636
10,1113043
10,775757
10,1347368
10,752941
10,800000
10,1505882
10,1347368
10,1422222
10,853333
10,1600000
10,1600000
10,1505882
10,853333
10,1219047
10,752941
10,853333
10,882758
10,1969230
10,1280000
10,1505882
10,1066666
10,1505882
10,433898
10,1280000
10,281318
10,1280000
10,1024000
10,544680
