rtt,thput
0.005600,146285714.285714
0.007200,113777777.777778
0.007200,113777777.777778
0.007600,107789473.684211
0.028000,29257142.857143
0.016400,49951219.512195
0.012000,68266666.666667
0.006400,128000000.000000
0.008400,97523809.523810
0.034800,23540229.885057
0.011600,70620689.655172
0.016400,49951219.512195
0.011200,73142857.142857
0.036000,22755555.555556
0.053600,15283582.089552
0.030000,27306666.666667
0.009600,85333333.333333
0.010000,81920000.000000
0.009600,85333333.333333
0.038400,21333333.333333
0.048400,16925619.834711
0.007200,113777777.777778
0.006000,136533333.333333
0.010400,78769230.769231
0.016400,49951219.512195
0.008800,93090909.090909
0.007200,113777777.777778
0.008400,97523809.523810
0.011200,73142857.142857
0.017200,47627906.976744
0.061600,13298701.298701
0.010000,81920000.000000
0.011200,73142857.142857
0.008800,93090909.090909
0.019200,42666666.666667
0.023200,35310344.827586
0.006400,128000000.000000
0.007200,113777777.777778
0.010800,75851851.851852
0.014400,56888888.888889
0.018800,43574468.085106
0.007600,107789473.684211
0.016400,49951219.512195
0.014400,56888888.888889
0.010400,78769230.769231
0.012000,68266666.666667
0.012400,66064516.129032
0.008400,97523809.523810
0.009200,89043478.260870
0.008000,102400000.000000
0.008000,102400000.000000
0.006000,136533333.333333
0.010000,81920000.000000
0.009600,85333333.333333
0.011200,73142857.142857
0.009600,85333333.333333
0.013200,62060606.060606
0.006000,136533333.333333
0.009600,85333333.333333
0.008400,97523809.523810
0.007200,113777777.777778
0.064400,12720496.894410
0.010000,81920000.000000
0.010000,81920000.000000
0.007600,107789473.684211
0.014000,58514285.714286
0.012000,68266666.666667
0.009600,85333333.333333
0.015600,52512820.512821
0.027600,29681159.420290
0.009200,89043478.260870
0.008000,102400000.000000
0.028000,29257142.857143
0.010800,75851851.851852
0.012000,68266666.666667
0.007200,113777777.777778
0.008000,102400000.000000
0.008800,93090909.090909
0.006800,120470588.235294
0.009200,89043478.260870
0.013200,62060606.060606
0.008400,97523809.523810
0.008400,97523809.523810
0.007600,107789473.684211
0.020400,40156862.745098
0.009600,85333333.333333
0.008000,102400000.000000
0.007600,107789473.684211
0.008800,93090909.090909
0.012400,66064516.129032
0.004800,170666666.666667
0.009200,89043478.260870
0.007600,107789473.684211
0.009600,85333333.333333
0.007200,113777777.777778
0.007200,113777777.777778
0.011600,70620689.655172
0.004800,170666666.666667
0.010800,75851851.851852
0.011600,70620689.655172
0.009200,89043478.260870
0.007600,107789473.684211
0.010400,78769230.769231
0.024000,34133333.333333
0.007600,107789473.684211
0.007200,113777777.777778
0.006400,128000000.000000
0.016800,48761904.761905
0.008000,102400000.000000
0.048800,16786885.245902
0.051600,15875968.992248
0.009200,89043478.260870
0.008000,102400000.000000
0.007600,107789473.684211
0.007600,107789473.684211
0.005200,157538461.538462
0.010400,78769230.769231
0.007200,113777777.777778
0.006400,128000000.000000
0.008800,93090909.090909
0.012000,68266666.666667
0.006000,136533333.333333
0.028000,29257142.857143
0.011200,73142857.142857
0.037600,21787234.042553
0.009600,85333333.333333
0.009200,89043478.260870
0.008000,102400000.000000
0.046800,17504273.504274
0.008000,102400000.000000
0.007600,107789473.684211
0.012800,64000000.000000
0.014800,55351351.351351
0.010400,78769230.769231
0.010800,75851851.851852
0.016800,48761904.761905
0.017600,46545454.545455
0.008400,97523809.523810
0.015600,52512820.512821
0.014400,56888888.888889
0.007600,107789473.684211
0.016800,48761904.761905
0.006800,120470588.235294
0.009200,89043478.260870
0.008400,97523809.523810
0.007200,113777777.777778
0.014400,56888888.888889
0.013600,60235294.117647
0.008400,97523809.523810
0.012000,68266666.666667
0.009600,85333333.333333
0.006800,120470588.235294
0.010000,81920000.000000
0.027200,30117647.058824
0.011200,73142857.142857
0.010800,75851851.851852
0.010400,78769230.769231
0.006800,120470588.235294
0.006000,136533333.333333
0.006800,120470588.235294
0.012800,64000000.000000
0.015200,53894736.842105
0.013200,62060606.060606
0.010800,75851851.851852
0.008400,97523809.523810
0.008000,102400000.000000
0.009200,89043478.260870
0.006400,128000000.000000
0.009200,89043478.260870
0.007600,107789473.684211
0.010000,81920000.000000
0.007200,113777777.777778
0.027200,30117647.058824
0.006400,128000000.000000
0.007600,107789473.684211
0.009600,85333333.333333
0.007600,107789473.684211
0.010000,81920000.000000
0.018000,45511111.111111
0.008400,97523809.523810
0.005200,157538461.538462
0.012000,68266666.666667
0.007600,107789473.684211
0.014800,55351351.351351
0.008000,102400000.000000
0.009200,89043478.260870
0.009600,85333333.333333
0.009600,85333333.333333
0.010800,75851851.851852
0.010400,78769230.769231
0.008400,97523809.523810
0.010000,81920000.000000
0.006000,136533333.333333
0.010800,75851851.851852
0.019200,42666666.666667
0.024800,33032258.064516
0.006000,136533333.333333
0.010400,78769230.769231
0.037600,21787234.042553
0.008800,93090909.090909
0.007600,107789473.684211
0.013200,62060606.060606
0.032800,24975609.756098
0.014000,58514285.714286
0.006400,128000000.000000
0.028800,28444444.444444
0.008800,93090909.090909
0.014400,56888888.888889
0.016400,49951219.512195
0.031200,26256410.256410
0.024400,33573770.491803
0.014000,58514285.714286
0.009200,89043478.260870
0.039600,20686868.686869
0.013200,62060606.060606
0.008000,102400000.000000
0.008800,93090909.090909
0.011200,73142857.142857
0.011600,70620689.655172
0.028800,28444444.444444
0.005600,146285714.285714
0.032400,25283950.617284
0.008800,93090909.090909
0.014400,56888888.888889
0.007600,107789473.684211
0.016000,51200000.000000
0.008400,97523809.523810
0.006800,120470588.235294
0.007600,107789473.684211
0.010000,81920000.000000
0.029200,28054794.520548
0.013200,62060606.060606
0.008000,102400000.000000
0.007600,107789473.684211
0.008400,97523809.523810
0.012000,68266666.666667
0.006400,128000000.000000
0.008800,93090909.090909
0.009200,89043478.260870
0.006000,136533333.333333
0.005600,146285714.285714
0.015600,52512820.512821
0.010000,81920000.000000
0.006000,136533333.333333
0.033200,24674698.795181
0.007600,107789473.684211
0.008800,93090909.090909
0.007600,107789473.684211
0.007200,113777777.777778
