rtt,thput,total_time,payload_size
0.023600,34711864.406780,56000,819200
0.025600,32000000.000000,56000,819200
0.048800,16786885.245902,80000,819200
0.032800,24975609.756098,40000,819200
0.030000,27306666.666667,32000,819200
0.082400,9941747.572816,88000,819200
0.056000,14628571.428571,60000,819200
0.079600,10291457.286432,88000,819200
0.042400,19320754.716981,116000,819200
0.148800,5505376.344086,164000,819200
0.056400,14524822.695035,76000,819200
0.124400,6585209.003215,164000,819200
0.055200,14840579.710145,88000,819200
0.137600,5953488.372093,152000,819200
0.098800,8291497.975709,136000,819200
0.138400,5919075.144509,180000,819200
0.138800,5902017.291066,248000,819200
0.201200,4071570.576541,224000,819200
0.204800,4000000.000000,216000,819200
0.345200,2373117.033604,408000,819200
0.315600,2595690.747782,348000,819200
0.332000,2467469.879518,332000,819200
0.206400,3968992.248062,376000,819200
0.235200,3482993.197279,296000,819200
0.225600,3631205.673759,272000,819200
0.260000,3150769.230769,260000,819200
0.242400,3379537.953795,260000,819200
0.240000,3413333.333333,256000,819200
0.235200,3482993.197279,256000,819200
0.232400,3524956.970740,260000,819200
0.239600,3419031.719533,260000,819200
0.224800,3644128.113879,248000,819200
0.227200,3605633.802817,236000,819200
0.226400,3618374.558304,236000,819200
0.214000,3828037.383178,220000,819200
0.247200,3313915.857605,280000,819200
0.242400,3379537.953795,272000,819200
0.206400,3968992.248062,216000,819200
0.204000,4015686.274510,212000,819200
0.202000,4055445.544554,212000,819200
0.196400,4171079.429735,208000,819200
0.242400,3379537.953795,280000,819200
0.196000,4179591.836735,204000,819200
0.189200,4329809.725159,196000,819200
0.178800,4581655.480984,184000,819200
0.180400,4541019.955654,184000,819200
0.173600,4718894.009217,180000,819200
0.159200,5145728.643216,160000,819200
0.098000,8359183.673469,100000,819200
0.109600,7474452.554745,140000,819200
0.022000,37236363.636364,36000,819200
0.046000,17808695.652174,96000,819200
0.033200,24674698.795181,64000,819200
0.042000,19504761.904762,60000,819200
0.034000,24094117.647059,64000,819200
0.032000,25600000.000000,68000,819200
0.027600,29681159.420290,32000,819200
0.015200,53894736.842105,20000,819200
0.070800,11570621.468927,160000,819200
0.062000,13212903.225806,116000,819200
0.138800,5902017.291066,148000,819200
0.132400,6187311.178248,140000,819200
0.118400,6918918.918919,124000,819200
0.170000,4818823.529412,200000,819200
0.167600,4887828.162291,176000,819200
0.180000,4551111.111111,180000,819200
0.184000,4452173.913043,208000,819200
0.104400,7846743.295019,216000,819200
0.172000,4762790.697674,172000,819200
0.140400,5834757.834758,168000,819200
0.144800,5657458.563536,164000,819200
0.120000,6826666.666667,160000,819200
0.156000,5251282.051282,248000,819200
0.176800,4633484.162896,212000,819200
0.169200,4841607.565012,196000,819200
0.147200,5565217.391304,156000,819200
0.156800,5224489.795918,192000,819200
0.141200,5801699.716714,156000,819200
0.111200,7366906.474820,116000,819200
