n_pkt,dropped
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
1001,0.00
