n_pkt,thput
5,266666
5,109714
5,640000
5,117028
5,320000
25,333333
25,234948
25,252764
25,255591
25,244134
50,371229
50,302600
50,276577
50,296570
100,193587
100,161107
100,149379
100,158268
100,156307
200,175799
200,176911
200,200136
200,186137
200,175865
400,113719
400,103974
400,105131
400,102525
400,101294
800,65336
800,60554
800,58778
800,59790
800,60826
5,457142
5,320000
5,213333
5,172972
5,376470
25,345572
25,233918
25,202020
25,134579
25,215053
50,365923
50,270727
50,261651
50,260268
50,263591
100,254473
100,240691
100,228286
100,218485
100,221434
200,178450
200,187896
200,163052
200,160862
200,158747
400,102069
400,95675
400,96977
400,90946
400,94296
800,76840
800,68307
800,66344
800,65058
800,65524
5,237037
5,142222
5,164102
5,145454
5,114285
25,230215
25,198511
25,187573
25,177580
25,178970
50,162684
50,143048
50,140412
50,138378
50,136635
100,136876
100,124259
100,117582
100,99051
100,114751
200,96072
200,88574
200,85337
200,89452
200,87238
400,77684
400,74105
400,73871
400,73618
400,74585
800,46229
800,44875
800,44101
800,45309
800,44724
5,376470
5,160000
5,120470
5,124121
5,152380
25,185614
25,157170
25,149672
25,147058
25,141969
50,123783
50,156021
50,154365
50,150872
50,146957
100,122020
100,116868
100,115664
100,115450
100,113757
200,106207
200,100404
200,99292
200,98508
200,101097
400,36050
400,86453
400,84039
400,82117
400,83396
800,25542
800,47261
800,46848
800,46454
800,46596
5,160000
5,136170
5,106666
5,92753
5,90140
25,126582
25,120481
25,109215
25,94339
25,93731
50,98704
50,91572
50,88925
50,85344
50,84232
100,164218
100,152127
100,146797
200,75966
200,77547
200,75275
200,74333
200,73696
400,61046
400,59999
400,58192
400,58963
400,58683
800,38896
800,38452
800,38088
800,38236
800,38072
5,266666
5,237037
5,152380
5,164102
5,156097
25,131147
25,111888
25,108254
25,99875
25,96852
50,109551
50,97709
50,96414
50,91677
50,89748
100,91729
100,86829
100,82265
100,84953
100,84108
200,27122
200,81423
200,79973
200,79367
200,78641
400,40699
400,64509
400,65126
400,63707
400,64016
800,49569
800,48334
800,48903
800,48496
5,136170
5,85333
5,69565
5,67368
5,63366
25,94955
25,88740
25,83376
25,79920
25,75793
50,75973
50,69891
50,67283
50,64941
50,64179
100,70548
100,69724
100,67800
100,66875
100,65678
200,69151
200,67550
200,66615
200,65747
200,65759
400,53994
400,53717
400,52940
400,52875
400,53242
800,36783
800,36526
800,36478
800,36676
800,36438
5,110344
5,72727
5,79012
5,125490
5,164102
25,97501
25,79207
25,75793
25,71748
25,70329
50,87372
50,77858
50,76163
50,74168
50,72834
100,79577
100,70867
100,69533
100,68063
100,65796
200,69474
200,68255
200,66652
200,65887
200,65710
400,55629
400,54960
400,54510
400,49456
400,54947
800,36779
800,36540
800,36385
800,36219
800,35875
5,160000
5,133333
5,87671
5,86486
5,65306
25,104712
25,100439
25,85106
25,80361
25,78508
50,98159
50,88925
50,80981
50,78498
50,75356
