n_pkt,thput
5,533333
5,492307
5,426666
5,213333
25,629921
25,466472
25,439560
25,362811
50,589861
50,535564
50,495356
50,599250
100,691331
100,555555
100,504632
100,490985
200,544159
200,463453
200,412686
200,404503
400,286099
400,265458
400,270903
400,269791
800,150516
800,143265
800,144469
800,142015
5,1066666
5,914285
5,376470
5,142222
25,663900
25,526315
25,516129
25,507936
50,625610
50,564373
50,545144
50,524590
100,552319
100,523838
100,637450
100,490327
200,500537
200,393740
200,392352
200,417124
400,284671
400,273039
400,264616
400,261571
800,144732
800,140231
800,136587
800,135493
5,1066666
5,914285
5,3200000
5,355555
25,761904
25,462427
25,519480
25,474777
50,767386
50,587155
50,565371
50,565371
100,533000
100,491174
100,577096
100,479400
200,438863
200,404999
200,386940
200,468285
400,275144
400,267934
400,278383
400,264348
800,155420
800,146739
800,147927
800,149407
5,237037
5,376470
5,164102
25,642570
25,551724
25,370370
25,443213
50,540084
50,525020
50,513643
50,612440
100,543293
100,534000
100,502059
100,490985
200,397315
200,449754
200,397530
200,411410
400,316645
400,273055
400,277317
400,270182
800,138315
800,135373
800,134976
800,136992
5,2133333
5,1280000
5,581818
5,376470
25,672268
25,516129
25,466472
25,498442
50,1226053
50,685959
50,583409
50,572963
100,536462
100,495835
100,487990
100,541455
200,403626
200,449201
200,383592
200,425992
400,304028
400,273615
400,267934
400,263720
800,141384
800,138620
800,136495
800,134884
5,914285
5,1066666
5,457142
5,320000
25,816326
25,413436
25,363636
25,329218
50,602069
50,570409
50,533778
50,523731
100,766008
100,510876
100,502848
100,493161
200,393921
200,450783
200,400704
200,421225
400,289071
400,276428
400,268176
400,271008
800,147451
800,141997
800,140173
800,136555
5,492307
5,914285
5,914285
5,533333
25,599250
25,533333
25,489296
25,450704
50,583409
50,535117
50,534670
50,683030
100,508138
100,499025
100,472411
100,594657
200,256705
200,263042
200,268822
200,261111
400,274277
400,266053
400,261939
400,270386
800,137863
800,135039
800,135762
800,135224
5,800000
5,800000
5,640000
5,426666
25,658436
25,784313
25,603773
25,650406
50,952380
50,666666
50,627450
50,587695
100,496701
100,476545
100,480841
100,612586
200,389813
200,441893
200,395076
200,387849
400,272864
400,270747
400,262950
400,275901
800,151793
800,153592
800,150709
800,147596
5,1280000
5,711111
5,800000
5,426666
25,606060
25,544217
25,421052
25,471976
50,1159420
50,716685
50,683760
50,651731
100,660474
100,513849
100,500488
100,496797
200,408440
200,387365
200,428846
200,478817
400,268484
400,260384
400,244841
400,248833
800,155038
800,149086
800,147920
800,145250
5,1280000
5,376470
5,1066666
5,426666
25,647773
25,603773
25,528052
25,479041
50,711902
50,581289
50,547008
50,540997
100,528270
100,526532
100,475482
100,466642
200,260308
200,286161
200,276532
200,273219
400,286443
400,269408
400,258119
400,264691
800,150658
800,148256
800,153298
800,149621
5,3200000
5,1066666
5,711111
5,426666
25,627450
25,575539
25,573476
25,1259842
50,458124
50,421052
50,364050
50,353006
100,591633
100,499122
100,486137
100,485492
200,409665
200,383707
200,466090
200,445488
400,279588
400,273879
400,264184
400,263134
800,142888
800,140998
800,138645
800,136213
5,533333
5,1066666
5,914285
5,457142
25,529801
25,509554
25,711111
25,432432
50,736478
50,660474
50,559440
50,540997
100,414978
100,332597
100,328120
100,319042
200,387204
200,379020
200,480593
200,406801
400,280033
400,275320
400,267558
400,264775
800,134008
800,128212
800,128498
800,124001
5,711111
5,914285
5,640000
5,426666
25,613026
25,486322
25,677966
25,480480
50,902679
50,621963
50,576057
50,544217
100,497087
100,487711
100,475306
100,561896
200,598165
200,421920
200,408505
200,399064
400,285127
400,270629
400,277463
400,268183
800,140599
800,138234
800,139483
800,134643
5,1066666
5,800000
5,581818
5,168421
25,603773
25,544217
25,542372
25,538720
50,736478
50,634291
50,580762
50,569902
100,501272
100,495451
100,479850
100,735420
200,381491
200,382789
200,401615
200,400845
400,263166
400,266897
400,260228
400,254650
800,157971
800,153685
800,143089
800,150951
5,492307
5,6400000
5,1280000
5,640000
25,586080
25,423280
25,373831
25,381861
50,685959
50,565371
50,576057
50,562884
100,538041
100,527835
100,517589
100,471194
200,392487
200,395657
200,428541
200,415213
400,267952
400,276386
400,262717
400,264914
800,146491
800,145618
800,142923
800,141752
5,1066666
5,1066666
5,1280000
5,177777
25,606060
25,606060
25,565371
25,536912
50,623174
50,553154
50,521172
50,522022
100,688727
100,562390
100,509960
100,499219
200,385803
200,436487
200,423876
200,410305
400,287887
400,265904
400,269985
400,269119
800,155436
800,150929
800,147674
800,147929
5,1600000
5,800000
5,800000
5,320000
25,627450
25,575539
25,449438
25,411311
50,1336116
50,641282
50,663212
50,631786
100,612733
100,589861
100,503540
100,534335
200,479985
200,408505
200,438431
200,395458
400,263978
400,251405
400,245213
400,242056
800,146751
800,146914
800,142475
800,141625
5,2133333
5,640000
5,400000
5,336842
25,1103448
25,575539
25,629921
25,622568
50,1373390
50,733944
50,675105
50,665280
100,471281
100,345153
100,335034
100,337019
200,413086
200,460452
200,389976
200,456490
400,274367
400,278232
400,266644
400,261142
800,151342
800,146008
800,147209
800,148486
5,581818
5,1280000
5,457142
5,336842
25,553633
25,546075
25,569395
25,522875
50,593692
50,534223
50,530240
50,652395
100,553513
100,518008
100,502354
100,469983
200,397577
200,495571
200,413119
200,437943
400,281938
400,275283
400,268289
400,264140
800,148909
800,150750
800,147325
800,148291
5,914285
5,457142
5,426666
5,213333
25,645161
25,567375
25,384615
25,439560
50,627450
50,604343
50,883977
50,599250
100,560665
100,495260
100,489203
100,479670
200,393316
200,448414
200,403546
200,405319
400,283183
400,263652
400,269018
400,268284
800,155491
800,150980
800,150316
800,147765
