n_pkt,thput
5,9090909
25,19230769
50,34843205
100,39682539
200,31298904
400,32535204
800,51599379
5,3846153
25,18939393
50,26315789
100,38759689
200,46975924
400,54565606
800,50791635
5,3448275
25,23148148
50,40322580
100,46565774
200,47690014
400,50636917
800,49753177
5,3571428
25,23148148
50,27173913
100,41710114
200,49413218
400,45451317
800,33053582
5,3448275
25,23148148
50,23529411
100,42553191
200,48280024
400,50267043
800,51175435
5,3448275
25,13440860
50,35714285
100,45766590
200,50648939
400,51220488
800,50489113
5,4000000
25,17985611
50,35087719
100,39138943
200,48105832
400,51771558
800,52269432
5,3846153
25,13888888
50,27777777
100,42918454
200,48632218
400,49109883
800,51141698
5,3448275
25,13736263
50,29069767
100,40733197
200,47031158
400,50842071
800,51627475
5,3571428
25,19685039
50,35211267
100,48484848
200,47775455
400,51089646
800,55808680
5,3571428
25,18656716
50,32362459
100,43103448
200,51347881
400,48595292
800,46711918
5,3448275
25,21186440
50,31948881
100,45766590
200,49276255
400,52377444
800,46701692
5,3448275
25,25510204
50,35087719
100,41194644
200,47761194
400,45280882
800,51892242
5,3846153
25,17985611
50,31152647
100,45610034
200,52066384
400,51167252
800,44957237
5,3571428
25,22935779
50,32258064
100,39960039
200,49337033
400,48269100
800,55535067
5,3846153
25,22321428
50,34364261
100,47058823
200,53050397
400,51687934
800,52820533
5,3846153
25,14534883
50,29850746
100,45714285
200,48149262
400,52066384
800,41066444
5,3846153
25,13812154
50,32362459
100,41884816
200,44481512
400,43817609
800,42160043
5,3448275
25,15723270
50,29673590
100,45610034
200,50346129
400,49666304
800,33272680
5,3846153
25,15822784
50,36630036
100,41067761
200,49797696
