n_pkt,thput
1,2560000
1,2560000
1,2560000
1,2560000
1,142222
1,56888
1,60952
1,2560000
1,320000
1,426666
1,284444
1,256000
1,365714
1,512000
1,640000
1,2560000
1,2560000
1,853333
1,142222
1,160000
1,196923
1,121904
1,102400
1,142222
1,116363
1,56888
1,134736
1,94814
1,30117
1,31219
1,80000
1,82580
1,182857
1,134736
1,853333
1,170666
1,512000
1,284444
1,182857
1,320000
1,213333
1,80000
1,284444
1,1280000
1,170666
1,88275
1,160000
1,160000
1,128000
1,85333
1,75294
1,170666
1,150588
1,160000
1,150588
1,853333
1,128000
1,56888
1,256000
1,38787
1,426666
1,512000
1,128000
1,38787
1,31219
1,44912
1,134736
1,160000
1,73142
1,80000
1,71111
1,60952
1,24854
1,82580
1,85333
1,98461
1,85333
1,65641
1,52244
1,640000
1,102400
1,77575
1,98461
1,85333
1,128000
1,640000
1,82580
1,853333
1,426666
1,284444
1,284444
1,150588
1,182857
1,640000
1,196923
1,2560000
1,142222
1,62439
1,39384
1,80000
1,55652
1,32405
1,150588
1,102400
1,62439
1,2560000
1,46545
1,121904
1,426666
1,52244
1,41290
1,82580
1,44137
1,59534
1,32000
1,41967
1,43389
1,41290
1,48301
1,51200
1,50196
1,52244
1,51200
1,51200
1,42666
1,48301
1,48301
1,48301
1,49230
1,48301
1,47407
1,49230
1,102400
1,102400
1,102400
1,111304
1,116363
1,134736
1,128000
1,426666
1,121904
1,150588
1,121904
1,134736
1,134736
1,32820
1,34594
1,98461
1,56888
1,71111
1,69189
1,77575
1,128000
1,73142
1,73142
1,128000
1,69189
1,71111
1,71111
1,102400
1,67368
1,67368
1,213333
1,67368
1,67368
1,67368
1,75294
1,73142
1,75294
1,55652
1,73142
1,134736
1,56888
1,142222
1,182857
1,62439
1,182857
1,58181
1,196923
1,182857
1,182857
1,91428
1,116363
1,134736
1,182857
1,182857
1,170666
1,512000
1,160000
1,150588
1,196923
1,196923
1,150588
1,160000
1,196923
1,40634
1,160000
1,38208
1,128000
1,232727
1,142222
1,160000
1,232727
1,38208
1,37101
1,36571
1,284444
1,49230
1,111304
1,128000
1,98461
1,116363
1,10322
1,150588
1,134736
1,256000
1,213333
1,121904
1,128000
1,128000
1,121904
1,142222
1,134736
1,142222
1,150588
1,142222
1,134736
1,150588
1,128000
1,121904
1,142222
1,134736
1,150588
1,88275
1,150588
1,213333
1,213333
1,39384
1,38787
1,38208
1,91428
1,38208
1,142222
1,35555
1,128000
1,134736
1,69189
1,116363
1,102400
1,98461
1,91428
1,98461
1,94814
1,75294
1,75294
1,75294
1,75294
1,10711
1,111304
1,182857
1,82580
1,91428
1,111304
1,134736
1,128000
1,134736
1,160000
1,170666
1,106666
1,160000
1,160000
1,150588
1,150588
1,142222
1,160000
1,150588
1,150588
1,150588
1,134736
1,213333
1,365714
1,170666
1,196923
1,196923
1,213333
1,640000
1,88275
1,91428
1,102400
1,365714
1,284444
1,196923
1,256000
1,213333
1,213333
1,196923
1,196923
1,170666
1,196923
1,196923
1,182857
1,196923
1,182857
1,196923
1,196923
1,196923
1,134736
1,134736
1,170666
1,320000
1,150588
1,142222
1,134736
1,134736
1,134736
1,142222
1,134736
1,128000
1,121904
1,116363
1,116363
1,116363
1,121904
1,106666
1,116363
1,121904
1,116363
1,121904
1,116363
1,116363
1,116363
1,116363
1,111304
1,106666
1,111304
1,106666
1,121904
1,116363
1,128000
1,182857
1,111304
1,34594
1,111304
1,134736
1,91428
1,71111
1,111304
1,116363
1,116363
1,170666
1,232727
1,426666
1,512000
1,853333
1,2560000
1,1280000
1,1280000
1,853333
1,1280000
1,1280000
1,2560000
1,1280000
1,1280000
1,853333
1,640000
1,853333
1,1280000
1,853333
1,48301
1,47407
1,1280000
1,853333
1,853333
1,47407
1,1280000
1,853333
1,853333
1,640000
1,1280000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,1280000
1,1280000
1,1280000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,853333
1,853333
1,640000
1,853333
1,512000
1,512000
1,426666
1,426666
1,1280000
1,853333
1,853333
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,853333
1,640000
1,2560000
1,2560000
1,1280000
1,1280000
1,1280000
1,1280000
1,853333
1,853333
1,1280000
1,1280000
1,853333
1,853333
1,1280000
1,853333
1,853333
1,640000
1,640000
1,512000
1,640000
1,640000
1,512000
1,512000
1,426666
1,640000
1,512000
1,853333
1,640000
1,1280000
1,853333
1,853333
1,640000
1,640000
1,512000
1,853333
1,853333
1,1280000
1,1280000
1,853333
1,853333
1,640000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,1280000
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,853333
1,1280000
1,2560000
1,1280000
1,640000
1,853333
1,640000
1,1280000
1,853333
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,640000
1,2560000
1,2560000
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,853333
1,853333
1,853333
1,853333
1,1280000
1,1280000
1,853333
1,2560000
1,2560000
1,1280000
1,2560000
1,1280000
1,853333
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,1280000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,1280000
1,853333
1,853333
1,640000
1,640000
1,640000
1,512000
1,2560000
1,1280000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,853333
1,853333
1,640000
1,640000
1,853333
1,2560000
1,1280000
1,1280000
1,1280000
1,853333
1,853333
1,853333
1,640000
1,1280000
1,2560000
1,2560000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,2560000
1,1280000
1,1280000
1,2560000
1,1280000
1,853333
1,853333
1,2560000
1,2560000
1,2560000
1,1280000
1,853333
1,853333
1,640000
1,1280000
1,853333
1,853333
1,853333
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,1280000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,853333
1,2560000
1,2560000
1,2560000
1,1280000
1,853333
1,853333
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,1280000
1,1280000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,853333
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,853333
1,853333
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,1280000
1,1280000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,1280000
1,1280000
1,853333
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,853333
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,853333
1,853333
1,853333
1,1280000
1,1280000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,2560000
1,2560000
1,853333
1,640000
1,640000
1,512000
1,512000
1,512000
1,426666
1,426666
1,365714
1,365714
1,365714
1,426666
1,426666
1,512000
1,512000
1,426666
1,426666
1,365714
1,365714
1,512000
1,426666
1,640000
1,426666
1,2560000
1,1280000
1,55652
1,48301
1,52244
1,51200
1,88275
1,142222
1,232727
1,365714
1,54468
1,56889
1,196923
1,320000
1,232727
1,365714
1,256000
1,2560000
1,196923
1,213333
1,232727
1,320000
1,365714
1,512000
1,426666
1,1280000
1,512000
1,56888
1,121904
1,47407
1,284444
1,80000
1,98461
1,55652
1,116363
1,39384
1,44912
1,45714
1,35555
1,39384
1,41290
1,34133
1,32820
1,32405
1,32000
1,32405
1,31604
1,32000
1,31604
1,56888
1,31219
1,33246
1,37647
1,33246
1,35068
1,35068
1,26666
1,28444
1,33684
1,38787
1,53333
1,77575
1,47407
1,77575
1,54468
1,45714
1,58181
1,62439
1,51200
1,38787
1,35068
1,20813
1,41290
1,41967
1,32000
1,58181
1,35555
1,36056
1,30843
1,36571
1,64000
1,56888
1,64000
1,60952
1,69189
1,73142
1,49230
1,48301
1,21157
1,9588
1,11531
1,11743
1,11689
1,12018
1,75294
1,102400
1,213333
1,11277
1,853333
1,365714
1,426666
1,196923
1,1280000
1,365714
1,365714
1,256000
1,256000
1,182857
1,170666
1,196923
1,232727
1,213333
1,256000
1,284444
1,284444
1,232727
1,182857
1,160000
1,150588
1,142222
1,640000
1,160000
1,142222
1,142222
1,160000
1,142222
1,142222
1,142222
1,128000
1,98461
1,134736
1,111304
1,102400
1,365714
1,320000
1,170666
1,128000
1,160000
1,94814
1,22654
1,22654
1,22654
1,26666
1,22654
1,22654
1,22654
1,22654
1,31604
1,23925
1,23925
1,23925
1,17066
1,37647
1,37101
1,37101
1,34133
1,37101
1,15515
1,35068
1,28131
1,27826
1,22456
1,22456
1,23063
1,22456
1,21157
1,23272
1,22654
1,21512
1,37647
1,18686
1,14970
1,12248
1,24854
1,22654
1,22260
1,14545
1,14382
1,14382
1,13837
1,15802
1,19104
1,19248
1,20000
1,19844
1,19104
1,18823
1,18823
1,18823
1,18550
1,13061
1,13128
1,13195
1,12736
1,18686
1,15058
1,15421
1,15421
1,17777
1,18028
1,17777
1,21157
1,42666
1,41290
1,22857
1,42666
1,40000
1,44137
1,40634
1,23272
1,22456
1,22068
1,22260
1,21880
1,21512
1,22654
1,21880
1,21512
1,28131
1,27526
1,27526
1,27234
1,26947
1,17777
1,27526
1,27526
1,27234
1,27234
1,26947
1,17297
1,17066
1,26391
1,16623
1,29090
1,11851
1,22654
1,21880
1,23272
1,11428
1,23063
1,22654
1,22260
1,26391
1,26391
1,21512
1,20983
1,20480
1,20317
1,18417
1,22654
1,19844
1,14797
1,14970
1,14883
1,14883
1,14883
1,19692
1,24150
1,14382
1,24615
1,25346
1,24615
1,24854
1,24854
1,24854
1,25098
1,25098
1,34133
1,27826
1,28444
1,12427
1,12610
1,32820
1,33246
1,37647
1,24615
1,75294
1,85333
1,23272
1,85333
1,88275
1,102400
1,33684
1,94814
1,116363
1,98461
1,102400
1,91428
1,10711
1,91428
1,94814
1,94814
1,98461
1,94814
1,91428
1,160000
1,91428
1,94814
1,91428
1,102400
1,98461
1,102400
1,106666
1,106666
1,106666
1,111304
1,116363
1,121904
1,121904
1,128000
1,128000
1,134736
1,38787
1,182857
1,196923
1,232727
1,256000
1,22456
1,256000
1,232727
1,853333
1,232727
1,40634
1,213333
1,20000
1,41967
1,232727
1,232727
1,232727
1,232727
1,256000
1,256000
1,42666
1,42666
1,42666
1,256000
1,284444
1,284444
1,43389
1,42666
1,41967
1,232727
1,41290
1,232727
1,40634
1,232727
1,512000
1,41290
1,40634
1,213333
1,196923
1,232727
1,41290
1,256000
1,256000
1,232727
1,41290
1,256000
1,41967
1,41967
1,320000
1,426666
1,43389
1,43389
1,42666
1,43389
1,426666
1,426666
1,44912
1,44912
1,44912
1,365714
1,426666
1,853333
1,48301
1,48301
1,853333
1,1280000
1,2560000
1,49230
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,47407
1,640000
1,46545
1,46545
1,47407
1,24150
1,24150
1,46545
1,640000
1,853333
1,1280000
1,1280000
1,2560000
1,1280000
1,2560000
1,2560000
1,1280000
1,1280000
1,1280000
1,1280000
1,1280000
1,1280000
1,1280000
1,1280000
1,853333
1,1280000
1,853333
1,853333
1,853333
1,2560000
1,640000
1,1280000
1,853333
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,853333
1,1280000
1,1280000
1,10491
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,853333
1,853333
1,853333
1,640000
1,512000
1,640000
1,512000
1,512000
1,426666
1,640000
1,640000
1,853333
1,640000
1,640000
1,640000
1,640000
1,853333
1,1280000
1,1280000
1,1280000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,512000
1,853333
1,640000
1,512000
1,512000
1,426666
1,426666
1,365714
1,365714
1,365714
1,426666
1,426666
1,512000
1,426666
1,426666
1,512000
1,1280000
1,2560000
1,2560000
1,2560000
1,2560000
1,1280000
1,1280000
1,853333
1,1280000
1,853333
1,640000
1,853333
1,640000
1,640000
1,640000
1,853333
1,640000
1,640000
1,512000
1,640000
1,512000
1,640000
1,512000
1,512000
1,426666
1,426666
1,426666
1,426666
1,426666
1,365714
1,426666
1,365714
1,365714
1,365714
1,365714
1,365714
1,320000
1,365714
1,365714
1,320000
1,320000
1,365714
1,426666
1,365714
1,426666
1,365714
1,365714
1,426666
1,365714
1,365714
1,320000
1,365714
1,320000
1,365714
1,365714
1,365714
1,426666
1,512000
1,640000
1,853333
1,1280000
1,1280000
1,1280000
1,853333
1,853333
1,853333
1,853333
1,853333
1,853333
