n_pkt,thput
25,553633
50,1223709
100,1549636
200,1514792
400,2395461
800,1494645
1600,2051713
3200,2137371
6400,1838529
25,808080
50,1017488
100,1758241
200,1608292
400,1755002
800,2340571
1600,2365083
3200,2198228
6400,1843395
25,599250
50,1030595
100,1861818
200,1421235
400,1642209
800,2023740
1600,1842700
3200,1807994
6400,1777541
25,599250
50,1185185
100,1777777
200,2137340
400,1752074
800,2284375
1600,1864525
3200,1688108
6400,1858144
25,637450
50,864864
100,1653746
200,2054986
400,1537941
800,1584204
1600,1662486
3200,1603052
6400,2056549
25,583941
50,1035598
100,1591050
200,1726521
400,2321995
800,2104181
1600,2170002
3200,2007777
6400,1781492
25,555555
50,1007874
100,1383036
200,2116577
400,1802975
800,2085619
1600,2270047
3200,2120394
6400,1839251
25,727272
50,1167883
100,1595015
200,1514568
400,1504057
800,2365100
1600,2197218
3200,1799216
6400,1760087
25,603773
50,1212121
100,1964696
200,1708945
400,1957093
800,1673407
1600,2366997
3200,2096659
6400,1827877
25,1081081
50,1161524
100,1693121
200,1797752
400,1619548
800,2303906
1600,1844297
3200,1884704
6400,1497210
25,860215
50,977099
100,1742682
200,1960183
400,2312687
800,2434146
1600,2065596
3200,2128653
6400,1802139
25,601503
50,1219047
100,1671018
200,1987577
400,2134000
800,2450017
1600,1774664
3200,1764412
6400,1921803
25,663900
50,1142857
100,1741496
200,1953452
400,2129451
800,2176697
1600,1993461
3200,1811371
6400,1854284
25,637450
50,1191806
100,1704394
200,1904761
400,1625074
800,2088783
1600,1989955
3200,1581856
6400,2086130
25,613026
50,989180
100,1379310
200,2172252
400,2322390
800,1783816
1600,2073748
3200,1751174
6400,1840133
25,1176470
50,1214421
100,1804087
200,1969230
400,2362032
800,2126301
1600,1918759
3200,1526527
6400,1737153
25,599250
50,918220
100,1390548
200,1549636
400,1946675
800,1759091
1600,2199401
3200,1586279
6400,1770968
25,1167883
50,931586
100,1734417
200,2257495
400,1770860
800,2276852
1600,2265815
3200,1805774
6400,1650504
25,606060
50,1140819
100,1614123
200,1767040
400,1548113
800,1957303
1600,2250240
3200,1748073
6400,1587287
25,592592
50,1250000
100,1666666
200,1501246
400,2406015
800,2367219
1600,2167505
3200,1794606
6400,1673849
