n_pkt,thput
5,4166666
25,11961722
50,26315789
100,23419203
200,25636917
400,36938704
800,30590175
1600,28821526
5,4000000
25,17123287
50,25839793
100,27173913
200,25086233
400,36001575
800,37426900
1600,36680053
5,4000000
25,18518518
50,24630541
100,19656019
200,35523978
400,36651013
800,39081582
1600,37032750
5,3846153
25,17857142
50,23866348
100,31152647
200,33270950
400,34197168
800,29825706
1600,28354120
5,5555555
25,20161290
50,22727272
100,24752475
200,24183796
400,38263780
800,38130985
1600,36374383
5,4166666
25,18656716
50,24154589
100,33222591
200,36305877
400,36872731
800,35930833
1600,29034753
5,5263157
25,15060240
50,24630541
100,27063599
200,34972677
400,38192993
800,33370701
1600,36422097
5,4166666
25,9960159
50,20833333
100,25046963
200,25649246
400,30290122
800,32399731
1600,30961175
5,3846153
25,16339869
50,17857142
100,27192386
200,34173430
400,31415668
800,36912074
1600,28152905
5,4000000
25,16778523
50,20576131
100,30983733
200,24953212
400,27025885
800,30854897
1600,32516690
