rtt,thput,total_time,payload_size
0.006409,12794807302.231237,77151999,82001920
0.006045,13565247311.827957,77139999,82001920
0.006193,13241065719.360569,77107999,82001920
0.006917,11855127945.641172,77179999,82001920
0.006445,12723339022.498060,77183999,82001920
0.007484,10956964190.272581,77155999,82001920
0.006861,11951890394.986155,77243999,82001920
0.006653,12325555388.546520,77199999,82001920
0.006969,11766669536.518869,77151999,82001920
0.006297,13022378910.592346,77179999,82001920
0.006593,12437724859.699682,77183999,82001920
0.006993,11726286286.286285,77215999,82001920
0.006341,12932017032.013878,77255999,82001920
0.006777,12100032462.741627,77211999,82001920
0.006661,12310752139.318420,77295999,82001920
0.006801,12057332745.184532,77267999,82001920
0.006653,12325555388.546520,77283999,82001920
0.007064,11608425821.064552,77211999,82001920
0.006561,12498387440.938881,77283999,82001920
0.007492,10945264281.900694,77267999,82001920
0.006133,13370604924.180660,77143998,82001920
0.007032,11661251422.070534,77159998,82001920
0.006265,13088893854.748604,77171998,82001920
0.006481,12652664712.235767,77239998,82001920
0.006845,11979827611.395178,77223998,82001920
0.006861,11951890394.986155,77163998,82001920
0.006457,12699693356.047701,77175998,82001920
0.006853,11965842696.629213,77151998,82001920
0.007140,11484862745.098040,77139998,82001920
0.006929,11834596622.889305,77171998,82001920
0.006349,12915722160.970232,77243998,82001920
0.007020,11681185185.185184,77263998,82001920
0.007100,11549566197.183098,77255998,82001920
0.007008,11701187214.611872,77211998,82001920
0.006729,12186345668.004162,77255998,82001920
0.006229,13164540054.583401,77339998,82001920
0.007336,11178015267.175573,77283998,82001920
0.007408,11069373650.107992,77299998,82001920
0.006545,12528941176.470589,77339998,82001920
0.006689,12259219614.292122,77331998,82001920
0.006957,11786965646.111830,77135999,82001920
0.006809,12043166397.415186,77151999,82001920
0.006753,12143035687.842440,77111999,82001920
0.006933,11827768642.723207,77219999,82001920
0.006541,12536602965.907354,77147999,82001920
0.006245,13130811849.479584,77247999,82001920
0.006361,12891356704.920609,77179999,82001920
0.006885,11910228031.953524,77219999,82001920
0.006337,12940179895.849771,77203999,82001920
0.006509,12598236288.216316,77203999,82001920
0.006449,12715447356.179253,77271999,82001920
0.006681,12273899116.898666,77163999,82001920
0.006477,12660478616.643507,77303999,82001920
0.006773,12107178502.879078,77211999,82001920
0.007348,11159760479.041916,77195999,82001920
0.006525,12567344061.302681,77327999,82001920
0.006613,12400108876.455467,77319999,82001920
0.007124,11510656934.306570,77327999,82001920
0.007544,10869819724.284199,77263999,82001920
0.006257,13105628895.636887,77359999,82001920
0.006797,12064428424.304840,77107999,82001920
0.006769,12114332988.624613,77159999,82001920
0.006577,12467982362.779383,77191999,82001920
0.006741,12164652128.764278,77199999,82001920
0.006725,12193594052.044609,77191999,82001920
0.006785,12085765659.543110,77159999,82001920
0.007280,11264000000.000000,77223999,82001920
0.006953,11793746584.208256,77223999,82001920
0.007016,11687844925.883696,77203999,82001920
0.006897,11889505582.137161,77207999,82001920
0.006673,12288613816.873970,77207999,82001920
0.007324,11196329874.385582,77255999,82001920
0.006833,12000866383.726036,77147999,82001920
0.007224,11351317829.457363,77207999,82001920
0.006673,12288613816.873970,77307999,82001920
0.006897,11889505582.137161,77279999,82001920
0.006437,12739151778.778934,77259999,82001920
0.006541,12536602965.907354,77287999,82001920
0.006337,12940179895.849771,77295999,82001920
0.007452,11004015029.522276,77331999,82001920
0.006409,12794807302.231237,77159998,82001920
0.006529,12559644662.275999,77179998,82001920
0.007244,11319977912.755384,77107998,82001920
0.007188,11408169170.840290,77079998,82001920
0.006353,12907590114.906343,77179998,82001920
0.006893,11896405048.600029,77235998,82001920
0.006645,12340394281.414598,77251998,82001920
0.006933,11827768642.723207,77167998,82001920
0.006717,12208116718.773262,77167998,82001920
0.007328,11190218340.611353,77211998,82001920
0.006345,12923864460.204885,77243998,82001920
0.006681,12273899116.898666,77207998,82001920
0.007176,11427246376.811594,77207998,82001920
0.006509,12598236288.216316,77251998,82001920
0.006601,12422651113.467657,77219998,82001920
0.007352,11153688792.165398,77239998,82001920
0.006581,12460404193.891506,77199998,82001920
0.006749,12150232627.055861,77263998,82001920
0.007076,11588739400.791409,77215998,82001920
0.007536,10881358811.040339,77299998,82001920
