n_pkt,thput
5,711111
5,237037
5,336842
25,924855
25,504731
25,586080
50,1037277
50,718294
50,715083
100,798004
100,711111
100,674394
200,602211
200,670991
200,620831
400,458355
400,439263
400,454142
800,260607
800,251991
800,238258
5,1066666
5,2133333
5,376470
25,1280000
25,1081081
25,492307
50,1200750
50,761904
50,725623
100,762585
100,748538
100,694708
200,615458
200,681893
200,627604
400,491027
400,439706
400,458452
800,274112
800,267609
800,264408
5,1066666
5,304761
5,533333
25,737327
25,521172
25,448179
50,1491841
50,1044045
50,776699
100,610687
100,482563
100,493731
200,603382
200,716184
200,610723
400,573115
400,496924
400,449507
800,265290
800,271263
800,262931
5,1066666
5,711111
5,355555
25,1280000
25,655737
25,1280000
50,1277445
50,834419
50,679405
100,783353
100,708356
100,719101
200,609088
200,634645
200,683258
400,443900
400,437153
400,434708
800,268894
800,267923
800,263764
5,1066666
5,640000
5,376470
25,637450
25,577617
25,1221374
50,956651
50,733104
50,670859
100,836327
100,747663
100,734787
200,661071
200,601928
200,594450
400,455723
400,438905
400,433471
800,261427
800,249939
800,248002
5,640000
5,426666
5,400000
25,804020
25,666666
25,1194029
50,1509433
50,969696
50,928882
100,768537
100,725417
100,695274
200,606850
200,586920
200,584141
400,524180
400,440738
400,441051
800,273251
800,260880
800,261336
5,1600000
5,581818
5,336842
25,663900
25,634920
25,441988
50,1267326
50,868385
50,784313
100,707964
100,711902
100,747881
200,598200
200,560205
200,564280
400,480486
400,433439
400,423867
800,251239
800,242477
800,239457
5,914285
5,800000
5,376470
25,686695
25,427807
25,533333
50,670157
50,547008
50,501960
100,584474
100,510265
100,469208
200,917562
200,714884
200,639720
400,441702
400,431885
400,430745
800,251005
800,241105
800,240009
5,237037
5,1600000
5,457142
25,645161
25,526315
25,417754
50,1285140
50,874316
50,847682
100,1020326
100,749633
100,702717
200,633937
200,594899
200,590201
400,452962
400,446839
400,426915
800,269989
800,265337
800,259784
5,914285
5,457142
5,182857
25,1073825
25,549828
25,924855
50,867208
50,794044
50,753828
100,765321
100,693578
100,795525
200,594139
200,760320
200,694284
400,459213
400,436995
400,429999
800,259171
800,249800
800,257469
5,1280000
5,581818
5,336842
25,816326
25,723981
25,993788
50,1000000
50,907801
50,843214
100,809358
100,709534
100,698118
200,639480
200,576966
200,633898
400,353322
400,333154
400,327562
800,274688
800,269084
800,258082
5,1600000
5,492307
5,336842
25,730593
25,754716
25,727272
50,962406
50,848806
50,709534
100,744186
100,722143
100,874914
200,583675
200,625725
200,604201
400,460586
400,438529
400,437079
800,229896
800,226360
800,218470
5,1066666
5,800000
5,426666
25,632411
25,400000
25,553633
50,853333
50,786240
50,706401
100,945696
100,826072
100,730385
200,636815
200,601009
200,589488
400,477050
400,446898
400,434252
800,282994
800,276180
800,262125
5,426666
5,640000
5,457142
25,1073825
25,1280000
25,567375
50,610104
50,503144
50,475836
100,765321
100,721329
100,886426
200,666059
200,592044
200,635078
400,456954
400,432286
400,429521
800,268312
800,261757
800,257977
5,914285
5,914285
5,400000
25,1495327
25,864864
25,1538461
50,1576354
50,995334
50,760095
100,983858
100,742459
100,723572
200,657126
200,595521
200,592455
400,450466
400,446615
400,430184
800,269795
800,256198
800,269054
5,376470
5,800000
5,213333
25,663900
25,637450
25,453257
50,726447
50,651068
50,671563
100,811667
100,721126
100,700602
200,655276
200,595072
200,597189
400,330053
400,322895
400,306515
800,214263
800,216131
800,212204
5,1066666
5,914285
5,220689
25,620155
25,463768
25,372093
50,1341719
50,958083
50,959520
100,868974
100,731219
100,721940
200,591770
200,659496
200,620982
400,435466
400,442079
400,431648
800,258721
800,249066
800,245229
5,1600000
5,800000
5,355555
25,650406
25,403022
25,451977
50,960960
50,764635
50,717488
100,828747
100,729136
100,807570
200,925775
200,658902
200,650406
400,464304
400,434958
400,445604
800,280989
800,266349
800,263429
5,533333
5,800000
5,336842
25,1250000
25,812182
25,772946
50,966767
50,814249
50,855614
100,770620
100,727893
100,975609
200,645283
200,591702
200,586114
400,509744
400,442256
400,458714
800,265022
800,274456
800,262537
5,711111
5,914285
5,336842
25,733944
25,733944
25,761904
50,895104
50,822622
50,736478
100,817891
100,780487
100,1081537
200,650076
200,598375
200,584641
400,479277
400,433622
400,450139
800,275876
800,274185
800,256074
